"Import failed: %1","Import mislukt: %1"
"Class for type ""%1"" was not declared","Klasse voor type ""%1"" is niet gedefinieerd"
"%1 does not implement %2","%1 is geen implementatie van %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Bestand app/etc/%1 kan niet worden gelezen. Controleer of het bestaat en leesmachtigingen heeft."
"There are no sensitive configurations to fill","Er zijn geen gevoelige configuraties te vullen"
"Value can't be empty","Waarde mag niet leeg zijn"
"A configuration with this path does not exist or is not sensitive","Een configuratie met dit pad bestaat niet of is niet gevoelig"
"Cannot switch into given mode ""%1""","Onmogelijk om naar volgende mode ""%1"" over te schakelen"
"Wrong logger interface specified.","Verkeerde logger-interface opgegeven."
"Hash has not been saved.","Hash is niet opgeslagen."
"Parameter ""importer_class"" must be present.","Parameter ""importer_class"" moet zijn meegegeven."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","Het configuratie-bestand is gewijzigd. Draai app:config:import of het setup:upgrade commando om de configuratie te synchroniseren."
"Wrong type specified: '%1'","Verkeerd type gespecificeerd: '%1'"
"Wrong queue type specified.","Verkeerd queue-soort gespecificeerd."
"Compilation from source: ","Compileer vanaf bron: "
"Wrong deploy strategy type: %1","Verkeerde deploy-strategie: %1"
"Some error","Een fout"
"some message","één of ander bericht"
"Exception","Uitzondering"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","De class van het ""%1"" type is niet gedeclareerd. Vul deze in en probeer het opnieuw."
"The value can't be empty. Enter the value and try again.","De waarde kan niet leeg zijn. Voer de waarde in en probeer het opnieuw."
"The mode can't be switched to ""%1"".","De modus kan niet worden verandert naar ""%1""."
"The hash isn't saved.","De hash is niet opgeslagen."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","De parameter ""importer_class"" ontbreekt. Stel de ""importer_class"" in en probeer het opnieuw."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","Het configuratiebestand is veranderd. Voer de ""app:config:import"" of de ""setup:upgrade"" commando uit om de configuratie te synchroniseren."
