"Import failed: %1","Uvoz nije uspeo: %1"
"Class for type ""%1"" was not declared","Klasa za tip ""%1"" nije deklarisana"
"%1 does not implement %2","%1 nije uvežen %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","File app/etc/%1 ne može biti pročitan. Molimo proverite da li postoji i da li ima dozvole za čitanje."
"There are no sensitive configurations to fill","Ne postoje osetljive konfiguracije koje treba ispuniti"
"Value can't be empty","Vrednost can't be empty"
"A configuration with this path does not exist or is not sensitive","Konfiguracija sa ovom putanjom ne postoji ili nije senzitivna"
"Cannot switch into given mode ""%1""","Ne može se prebaciti u zadati režim ""%1"""
"Wrong logger interface specified.","Navedeni su pogrešni podaci za pristup."
"Hash has not been saved.","Hash has not been saved."
"Parameter ""importer_class"" must be present.","Parametar ""importer_class"" mora biti prisutan."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration."
"Wrong type specified: '%1'","Navedeni tip je pogrešan: '%1'"
"Wrong queue type specified.","Navedena pogrešna vrsta reda."
"Compilation from source: ","Kompilacija iz izvora:"
"Wrong deploy strategy type: %1","Pogrešan tip razvoja strategije: %1"
"Some error","Neka greška"
"some message","neka poruka"
"Exception","Izuzetak"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Klasa za ""%1"" tip nije upisana. Unesite klasu i pokušajte ponovo."
"The value can't be empty. Enter the value and try again.","Vrednost ne može biti prazna. Molimo unesite vrednost i pokušajte ponovo."
"The mode can't be switched to ""%1"".","Režim ne može biti promenjen na ""%1""."
"The hash isn't saved.","Haš nije sačuvan."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","Nedostaje parametar ""importer_class"". Podesite ""importer_class"" i pokušajte ponovo."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","Konfiguraciona datoteka se promenila. Za sinhronizaciju konfiguracije pokrenite komandu: ""app:config:import"" ili ""setup:upgrade""."
