"Import failed: %1","İçe aktarma başarısız: %1"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"%1 does not implement %2","%2 uygulamadı %1"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Dosya app/etc/%1 okunamıyor. Lütfen dosya varlığını ve okuma izinlerini kontrol edin."
"There are no sensitive configurations to fill","Doldurulacak hassas ayarlar yok"
"The value can't be empty. Enter the value and try again.","The value can't be empty. Enter the value and try again."
"A configuration with this path does not exist or is not sensitive","Bu yolla bir yapılandırma yok veya hassas değil"
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1""."
"Wrong logger interface specified.","Hatalı kullanıcı arabirimi belirtildi."
"The hash isn't saved.","The hash isn't saved."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration."
"Wrong type specified: '%1'","Hata türü belirtildi: '%1'"
"Wrong queue type specified.","Hatalı sıra türü belirtildi."
"Compilation from source: ","Kaynaktan derleyin: "
"Wrong deploy strategy type: %1","Strateji türü yanlış yayımlandı: %1"
"Some error","Bazı hata"
"some message","herhangi bir mesaj"
"Exception","Exception"
