"Import failed: %1","واردکردن انجام نشد: %1"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 does not implement %2","%1 اجرا نشد %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","فایل app/etc/%1 خوانده نمی شود. لطفا وجود فایل و دسترسی های لازم را برای آن بررسی دارد."
"There are no sensitive configurations to fill","هیچ تنظیمات حساسی برای پر کردن وجود ندارد"
"Value can't be empty","Value can't be empty"
"A configuration with this path does not exist or is not sensitive","تنظیمات با این مسیر وجود ندارد و یا حساس نیست"
"Cannot switch into given mode ""%1""","Cannot switch into given mode ""%1"""
"Wrong logger interface specified.","رابط کاربری اشتباه مشخص شده است.
"
"Hash has not been saved.","Hash has not been saved."
"Parameter ""importer_class"" must be present.","Parameter ""importer_class"" must be present."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration."
"Wrong type specified: '%1'","نوع مشخص شده اشتباه است: '%1'"
"Wrong queue type specified.","نوع صف مشخص شده اشتباه است."
"Compilation from source: ","تلفیقی از منبع: "
"Wrong deploy strategy type: %1","نوع استراتژی استقرار اشتباه است: %1"
"Some error","چند خطا"
"some message","چند پیغام"
"Exception","Exception"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The value can't be empty. Enter the value and try again.","The value can't be empty. Enter the value and try again."
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1""."
"The hash isn't saved.","The hash isn't saved."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration."
