"New Permission","Nowe uprawnienie"
"You already have a permission with this scope.","Masz już uprawnienia z tego zakresu."
"(Allow)","(Zezwalaj)"
"(Deny)","(Zabroń)"
"Category Permissions","Uprawnienia do kategorii"
"Browsing Category","Przeglądanie kategorii"
"Display Product Prices","Wyświetlanie cen produktów"
"Add to Cart","Dodaj do koszyka"
"Yes, for Everyone","Tak, dla wszystkich"
"Yes, for Specified Customer Groups","Tak, dla określonych grup klientów"
"No","Nie"
"No, Redirect to Landing Page","Nie, przekieruj do strony docelowej"
"Permission with the same scope","Uprawnienie o tym samym zakresie"
"You may need more permissions to access this category.","Potrzebujesz uprawnień do dostępu do tej kategorii."
"You may need more permissions to access this product.","Potrzebujesz więcej uprawnień do dostępu do tego produktu."
"You cannot add ""%1"" to the cart.","Nie można dodać ""%1"" do koszyka."
"Permissions do not depend on store views.","Uprawnienia nie zależą od widoku sklepu."
"Website","Witryna"
"Customer Group","Grupa klienta"
"Action","Operacja"
"-- Please Select --","-- Prosimy wybrać --"
"All Websites","Wszystkie witryny"
"All Customer Groups","Wszystkie grupy klientów"
"Allow","Zezwól"
"Deny","Zabroń"
"Use parent","Użyj nadrzędnego"
"Category Permissions Section","Sekcja uprawnień kategorii"
"Enable","Włącz"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Grupy klientów"
"Landing Page","Strona docelowa"
"Allow Adding to Cart","Umożliwia dodawanie do koszyka"
"Disallow Catalog Search By","Zablokuj przeszukiwanie katalogów względem"
"Catalog Category Permissions","Uprawnienia do katalogu kategorii"
"Indexed permissions for categories","Indeksowane uprawnienia dla kategorii"
"Catalog Product Permissions","Uprawnienia do katalogu produktów"
"Indexed permissions for products","Indeksowane uprawnienia dla produktów"
