"New Permission","Izin Baru"
"You already have a permission with this scope.","Anda sudah punya izin dengan bidang ini."
"(Allow)","(Izinkan)"
"(Deny)","(Tolak)"
"Category Permissions","Izin kategori"
"Browsing Category","Browsing kategori"
"Display Product Prices","Tampilan Harga Produk"
"Add to Cart","Tambahkan ke Keranjang"
"Yes, for Everyone","Ya, untuk Semua orang"
"Yes, for Specified Customer Groups","Ya, untuk Grup Pelanggan Tertentu"
"No","Tidak"
"No, Redirect to Landing Page","Tidak, Arahkan kembali ke Halaman awal"
"Permission with the same scope","Perizinan dengan bidang yang sama"
"You may need more permissions to access this category.","Anda perlu izin lagi untuk mengakses kategori ini."
"You may need more permissions to access this product.","Anda perlu izin lagi untuk mengakses produk ini."
"You cannot add ""%1"" to the cart.","Anda tidak bisa menambah ""%1"" ke Troli."
"Permissions do not depend on store views.","Izin tidak tergantung pada Tampilan toko."
"Website","Situs web"
"Customer Group","Kelompok pelanggan"
"Action","Tindakan"
"-- Please Select --","-- Tolong Pilih --"
"All Websites","Semua Situs"
"All Customer Groups","Semua Grup Pelanggan"
"Allow","Izinkan"
"Deny","Tolak"
"Use parent","Gunakan induk"
"Category Permissions Section","Bagian Izin Kategori"
"Enable","Aktifkan"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Grup pelanggan"
"Landing Page","Arahan Halaman"
"Allow Adding to Cart","Izinkan Tambahan ke Troli"
"Disallow Catalog Search By","Tolak katalog yang dicari dengan"
"Catalog Category Permissions","Izin kategori katalog"
"Indexed permissions for categories","Izin terindeks untuk kategori"
"Catalog Product Permissions","Izin Katalog produk"
"Indexed permissions for products","Izin terindeks untuk produk"
