"New Permission","Nuevo Permiso"
"You already have a permission with this scope.","Ya tiene un permiso con este alcance."
"(Allow)","(Permitir)"
"(Deny)","(Denegar)"
"Category Permissions","Permisos de categoría"
"Browsing Category","Navegando por categoría"
"Display Product Prices","Mostrar precios de los artículos"
"Add to Cart","Agregar al Carrito"
"Yes, for Everyone","Sí, para todos"
"Yes, for Specified Customer Groups","Sí, para grupos de clientes especificados"
"No","No 	"
"No, Redirect to Landing Page","No, redirigir a la página de inicio"
"Permission with the same scope","Permiso con el mismo alcance"
"You may need more permissions to access this category.","Puede que necesite más permisos para acceder a esta categoría."
"You may need more permissions to access this product.","Puede que necesite más permisos para acceder a este artículo."
"You cannot add ""%1"" to the cart.","No puedes añadir ""%1"" a la cesta."
"Permissions do not depend on store views.","Los permisos no dependen de vistas de la tienda."
"Website","Página web"
"Customer Group","Grupo del cliente"
"Action","Acción"
"-- Please Select --","-- Por favor Seleccione --"
"All Websites","Todos los sitios web"
"All Customer Groups","Todos los Grupos de Clientes"
"Allow","Permitir"
"Deny","Denegar"
"Use parent","Utilización de los padres"
"Category Permissions Section","Sección de permisos de categoría"
"Enable","Habilitar"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Grupos de Clientes"
"Landing Page","Página de destino"
"Allow Adding to Cart","Permite añadir a la cesta"
"Disallow Catalog Search By","No permitir la búsqueda de catálogo por"
"Catalog Category Permissions","Permisos de categoría de catálogo"
"Indexed permissions for categories","Permisos indexadas por categorías"
"Catalog Product Permissions","Permisos del catálogo de artículos"
"Indexed permissions for products","Permisos indexados para artículos"
