"New Permission","Quyền mới"
"You already have a permission with this scope.","Bạn đã cho phép các phạm vi này."
"(Allow)","(Cho phép)"
"(Deny)","(Từ chối)"
"Category Permissions","Cấp phép nhóm"
"Browsing Category","Duyệt nhóm"
"Display Product Prices","Hiển thị giá sản phẩm"
"Add to Cart","Thêm vào giỏ hàng"
"Yes, for Everyone","Vâng, cho mọi người"
"Yes, for Specified Customer Groups","Yeah, cho các nhóm khách hàng được chỉ định"
"No","Không"
"No, Redirect to Landing Page","Không, chuyển hướng đến trang đích"
"Permission with the same scope","Cấp Phép với cùng một phạm vi"
"You may need more permissions to access this category.","Bạn có thể cần thêm quyền truy cập để vào nhóm này."
"You may need more permissions to access this product.","Bạn có thể cần thêm quyền truy cập vào sản phẩm này."
"You cannot add ""%1"" to the cart.","Bạn không thể thêm ""%1"" vào giỏ hàng."
"Permissions do not depend on store views.","Quyền không phụ thuộc vào chế độ xem cửa hàng."
"Website","Trang web"
"Customer Group","Nhóm khách hàng"
"Action","Thao tác"
"-- Please Select --","-- Vui lòng chọn --"
"All Websites","Tất cả trang Web"
"All Customer Groups","Tất cả các nhóm khách hàng"
"Allow","Cho phép"
"Deny","Từ chối"
"Use parent","Sử dụng ngành mẹ"
"Category Permissions Section","Phần cấp quyền nhóm"
"Enable","Kích hoạt"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Nhóm khách hàng"
"Landing Page","Trang đích"
"Allow Adding to Cart","Cho phép thêm vào giỏ hàng"
"Disallow Catalog Search By","Không cho phép tìm kiếm danh mục theo"
"Catalog Category Permissions","Cấp quyền nhóm danh mục"
"Indexed permissions for categories","Các cấp phép được lập chỉ mục cho thể loại"
"Catalog Product Permissions","Cấp quyền danh mục sản phẩm"
"Indexed permissions for products","Các cấp phép được lập chỉ mục cho các sản phẩm"
