"New Permission","Uusi oikeus"
"You already have a permission with this scope.","Sinulla on jo käyttöoikeus vaikutusalueen kanssa."
"(Allow)","(Salli)"
"(Deny)","(Estä)"
"Category Permissions","Kategorian käyttöoikeudet"
"Browsing Category","Browsing Category"
"Display Product Prices","Näytä tuotehinnat"
"Add to Cart","Lisää ostoskoriin"
"Yes, for Everyone","Kyllä, kaikille"
"Yes, for Specified Customer Groups","Kyllä, määrätyille asiakasryhmille"
"No","Ei"
"No, Redirect to Landing Page","Ei, ohjaa aloitussivulle"
"Permission with the same scope","Permission with the same scope"
"You may need more permissions to access this category.","You may need more permissions to access this category."
"You may need more permissions to access this product.","You may need more permissions to access this product."
"You cannot add ""%1"" to the cart.","Et voi lisätä ""%1"" ostoskoriin."
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Website","Sivusto"
"Customer Group","Asiakasryhmä"
"Action","Toiminto"
"-- Please Select --","--- Valitse ---"
"All Websites","Kaikki sivustot"
"All Customer Groups","Kaikki asiakasryhmät"
"Allow","Salli"
"Deny","Estä"
"Use parent","Use parent"
"Category Permissions Section","Category Permissions Section"
"Enable","Käytä"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Asiakasryhmät"
"Landing Page","Aloitussivu"
"Allow Adding to Cart","Salli lisääminen ostoskoriin"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexed permissions for products"
