"New Permission","دسترسی جدید"
"You already have a permission with this scope.","شما در حال حاضر به این حوزه دسترسی دارید."
"(Allow)","(اجازه دادن)"
"(Deny)","(رد کردن)"
"Category Permissions","مجوزهای دسته بندی"
"Browsing Category","مرور دسته بندی"
"Display Product Prices","نمایش قیمت محصولات"
"Add to Cart","اضافه کردن به سبد خرید"
"Yes, for Everyone","بله، برای همه"
"Yes, for Specified Customer Groups","بله، برای گروه مشتری های مشخص"
"No","خیر"
"No, Redirect to Landing Page","نه، تغییر مسیر به صفحه فرود"
"Permission with the same scope","دسترسی با محدود مشابه"
"You may need more permissions to access this category.","برای دسترسی به این دسته بندی، به دسترسی بالاتری نیاز دارید."
"You may need more permissions to access this product.","برای دسترسی به این محصول، به دسترسی بالاتری نیاز دارید."
"You cannot add ""%1"" to the cart.","شما نمی توانید ""%1"" را به سبد خرید اضافه کنید."
"Permissions do not depend on store views.","دسترسی ها به نمای فروشگاه بستگی ندارند."
"Website","وب سایت"
"Customer Group","گروه مشتری"
"Action","اقدام"
"-- Please Select --","-- لطفا انتخاب کنيد --"
"All Websites","همه‌ی وب‌سایت‌ها"
"All Customer Groups","همه گروه های مشتری"
"Allow","اجازه دادن"
"Deny","رد کردن"
"Use parent","از والد استفاده کن"
"Category Permissions Section","بخش دسترسی های دسته بندی"
"Enable","فعال"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","گروه‌های مشتری"
"Landing Page","صفحه فرود"
"Allow Adding to Cart","به سبد خرید اضافه کن"
"Disallow Catalog Search By","جستجو در کاتالوگ را غیرفعال کنید"
"Catalog Category Permissions","دسترسی های دسته بندی کاتالوگ"
"Indexed permissions for categories","دسترسی های فهرست شده برای دسته بندی ها"
"Catalog Product Permissions","دسترسی های کاتالوگ محصول"
"Indexed permissions for products","دسترسی های فهرست شده برای محصولات"
