"New Permission","Verweigern"
"You already have a permission with this scope.","Sie haben bereits eine Berechtigung in diesem Bereich."
"(Allow)","(Erlauben)"
"(Deny)","(Verbieten)"
"Category Permissions","Kategorieberechtigungen"
"Browsing Category","Durch Kategorie navigieren"
"Display Product Prices","Produktpreise anzeigen"
"Add to Cart","In den Warenkorb"
"Yes, for Everyone","Ja, für alle"
"Yes, for Specified Customer Groups","Ja, für angegebene Kundengruppen"
"No","Nein"
"No, Redirect to Landing Page","Nein, Umleitung zur Landing-Page"
"Permission with the same scope","Berechtigung mit dem selben Bereich"
"You may need more permissions to access this category.","Sie benötigen weitere Zugriffsberechtigungen für diese Kategorie."
"You may need more permissions to access this product.","Sie benötigen weitere Berechtigungen, um auf dieses Produkt zugreifen zu können."
"You cannot add ""%1"" to the cart.","Sie können ""%1"" nicht zu Warenkorb hinzufügen."
"Permissions do not depend on store views.","Berechtigungen sind nicht von Store Views abhängig."
"Website","Webseite"
"Customer Group","Kundengruppe"
"Action","Aktion"
"-- Please Select --","-- Bitte wählen --"
"All Websites","Alle Webseiten"
"All Customer Groups","Alle Kundengruppen"
"Allow","Erlauben"
"Deny","Verbieten"
"Use parent","übergeordnete Berechtigungen verwenden"
"Category Permissions Section","Kategorieberechtigungenbereich"
"Enable","Aktivieren"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Durchsuchen der Kategorie erlauben"
"Customer Groups","Kundengruppen"
"Landing Page","Landing-Page"
"Allow Adding to Cart","Hinzufügen zum Warenkorb erlauben"
"Disallow Catalog Search By","Katalogsuche nach verbieten"
"Catalog Category Permissions","Katalogkategorieberechtigungen"
"Indexed permissions for categories","Indizierte Berechtigungen für Kategorien"
"Catalog Product Permissions","Katalogproduktberechtigungen"
"Indexed permissions for products","Indizierte Berechtigungen für Produkte"
