"New Permission","הרשאה חדשה"
"You already have a permission with this scope.","כבר יש לך הרשאה עם תחום זה."
"(Allow)","(אפשר)"
"(Deny)","(דחה)"
"Category Permissions","הרשאות קטגוריה"
"Browsing Category","עין קטגוריה"
"Display Product Prices","הצגת מחירי מוצרים"
"Add to Cart","הוסף לסל"
"Yes, for Everyone","כן, עבור כולם"
"Yes, for Specified Customer Groups",". כן, עבור קבוצות הלקוחות המצויינים"
"No","לא"
"No, Redirect to Landing Page","לא, הפנה לדף נחיתה"
"Permission with the same scope","הרשאה עם אותו טווח"
"You may need more permissions to access this category.","ייתכן שתצטרך יותר הרשאות כדי לגשת לקטגוריה זו."
"You may need more permissions to access this product.","ייתכן שתצטרך יותר הרשאות כדי לגשת למוצר זה."
"You cannot add ""%1"" to the cart.","אינך יכול להוסיף ""%1"" לעגלה."
"Permissions do not depend on store views.","הרשאות אינן תלויות בתצוגות חנויות."
"Website","אתר"
"Customer Group","קבוצת לקוחות"
"Action","פעולה"
"-- Please Select --","-- אנא בחר --"
"All Websites","כל האתרים"
"All Customer Groups","כל קבוצות הלקוחות"
"Allow","אפשר"
"Deny","דחה"
"Use parent","השתמש באב"
"Category Permissions Section","בחירת הרשאות קטגוריה"
"Enable","אפשר"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","קבוצות לקוחות"
"Landing Page","עמוד נחיתה"
"Allow Adding to Cart","לאפשר הוספה לעגלה"
"Disallow Catalog Search By","לאסור חיפוש על ידי קטגוריה"
"Catalog Category Permissions","הרשאות קטגוריית קטלוג"
"Indexed permissions for categories","הרשאות אינדקוס עבור קטגוריות"
"Catalog Product Permissions","הרשאות מוצרי קטלוג"
"Indexed permissions for products","הרשאות אינדוקס עבור מוצרים"
