"New Permission","Nova Permissão"
"You already have a permission with this scope.","Já tem uma permissão com este escopo."
"(Allow)","(Permitir)"
"(Deny)","(Negar)"
"Category Permissions","Permissões da Categoria"
"Browsing Category","Categoria de Navegação"
"Display Product Prices","Mostrar Preços dos Produtos"
"Add to Cart","Adicionar ao carrinho"
"Yes, for Everyone","Sim, para Tudo"
"Yes, for Specified Customer Groups","Sim, para Grupos de Cliente Especificados"
"No","Não"
"No, Redirect to Landing Page","Não, Redirecionar para a Página Inicial"
"Permission with the same scope","Permissão com o mesmo escopo"
"You may need more permissions to access this category.","Podem ser necessárias mais permissões para aceder a esta categoria."
"You may need more permissions to access this product.","Podem ser necessárias mais permissões para aceder a este produto."
"You cannot add ""%1"" to the cart.","Não é possível adicionar ""%1"" ao carrinho."
"Permissions do not depend on store views.","As permissões não dependem das vistas de loja."
"Website","Site"
"Customer Group","Grupos de Clientes"
"Action","Ação"
"-- Please Select --","-- Por favor, selecione --"
"All Websites","Todos os Sites"
"All Customer Groups","Todos os Grupos de Clientes"
"Allow","Autorizar"
"Deny","Recusar"
"Use parent","Usar o pai"
"Category Permissions Section","Secção de Permissões de Categorias"
"Enable","Ativar"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Permitir a Navegação por Categoria"
"Customer Groups","Grupos de Clientes"
"Landing Page","Página de Destino"
"Allow Adding to Cart","Permitir Adicionar ao Carrinho"
"Disallow Catalog Search By","Rejeitar Pesquisas no Catálogo por"
"Catalog Category Permissions","Permissões de Categoria do Catálogo"
"Indexed permissions for categories","Permissões indexadas para as categorias"
"Catalog Product Permissions","Permissões de Produto do Catálogo"
"Indexed permissions for products","Permissões indexadas para produtos"
