"New Permission","Новий дозвіл"
"You already have a permission with this scope.","Ви вже маєте ці права."
"(Allow)","(Дозволити)"
"(Deny)","(Заборонити)"
"Category Permissions","Категорії дозволів"
"Browsing Category","Перегляд категорії"
"Display Product Prices","Показати ціни товарів"
"Add to Cart","Додати в кошик"
"Yes, for Everyone","Так, для всіх"
"Yes, for Specified Customer Groups","Так, для зазначених груп покупців"
"No","Ні"
"No, Redirect to Landing Page","Ні, перейти до головної сторінки"
"Permission with the same scope","Такі самі права доступу"
"You may need more permissions to access this category.","Вам потрібно більше прав для доступу до цієї категорії."
"You may need more permissions to access this product.","Вам потрібно більше прав для доступу до цього товару."
"You cannot add ""%1"" to the cart.","Ви не можете додати ""%1"" у кошик."
"Permissions do not depend on store views.","Дозволи не залежать від вигляду магазинів."
"Website","Веб-сайт"
"Customer Group","Група покупців"
"Action","Дія"
"-- Please Select --","-- Виберіть --"
"All Websites","Всі Веб-сайти"
"All Customer Groups","Усі групи покупців"
"Allow","Дозволити"
"Deny","Заборонити"
"Use parent","Використати основний"
"Category Permissions Section","Розділ категорій дозволів"
"Enable","Увімкнути"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Групи Покупців"
"Landing Page","Головна сторінка"
"Allow Adding to Cart","Дозволити додавання до кошику"
"Disallow Catalog Search By","Заборонити пошук у каталозі за"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexed permissions for products"
