"New Permission","إذن جديد"
"You already have a permission with this scope.","لديك بالفعل إذن مع هذا النطاق."
"(Allow)","(سماح)"
"(Deny)","(منع)"
"Category Permissions","أذونات الفئة"
"Browsing Category","تصفح القسم"
"Display Product Prices","عرض أسعار المنتجات"
"Add to Cart","أضف لسلة التسوق"
"Yes, for Everyone","نعم، بالنسبة للجميع"
"Yes, for Specified Customer Groups","نعم، بالنسبة لمجموعات العميل المحددة"
"No","لا"
"No, Redirect to Landing Page","لا، إعادة توجيه إلى الصفحة المقصودة"
"Permission with the same scope","سماح بنفس النطاق"
"You may need more permissions to access this category.","قد تحتاج إلى مزيد من الصلاحيات للوصول إلى هذه الفئة."
"You may need more permissions to access this product.","قد تحتاج إلى مزيد من الصلاحيات للوصول إلى هذا المنتج."
"You cannot add ""%1"" to the cart.","لا يمكنك إضافة ""%1"" إلى السلة."
"Permissions do not depend on store views.","لا تعتمد الصلاحيات على واجهة المخزن."
"Website","الموقع"
"Customer Group","مجموعات العملاء"
"Action","إجراء"
"-- Please Select --","--الرجاء الاختيار-"
"All Websites","جميع المواقع"
"All Customer Groups","جميع مجموعات العملاء"
"Allow","سماح"
"Deny","رفض"
"Use parent","استخدام الأصل"
"Category Permissions Section","قسم صلاحيات الفئة"
"Enable","تفعيل"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","السماح بتصفح الفئة"
"Customer Groups","مجموعات العملاء"
"Landing Page","الصفحة المقصودة"
"Allow Adding to Cart","السماح بالإضافة للسلة"
"Disallow Catalog Search By","عدم السماح بالبحث في الكتلوج حسب"
"Catalog Category Permissions","صلاحيات فئة الكتالوج"
"Indexed permissions for categories","صلاحيات الفهرسة للفئات"
"Catalog Product Permissions","صلاحيات كتالوج المنتج"
"Indexed permissions for products","صلاحيات الفهرسة للمنتجات"
