"New Permission","Nya tillstånd"
"You already have a permission with this scope.","Du har redan ett tillstånd med detta scope."
"(Allow)","(Tillåt)"
"(Deny)","(Neka)"
"Category Permissions","Kategoribehörigheter"
"Browsing Category","Bläddra kategori"
"Display Product Prices","Visa produktpriser"
"Add to Cart","Lägg till i kundvagn"
"Yes, for Everyone","Ja, för alla"
"Yes, for Specified Customer Groups","Ja, för angivna kundgrupper"
"No","Nej"
"No, Redirect to Landing Page","Nej, omdirigering till landningssida"
"Permission with the same scope","Rättigheter med samma omfång"
"You may need more permissions to access this category.","Du behöver högre behörighet för att visa webbsidan ""%1""."
"You may need more permissions to access this product.","Du behöver högre behörighet för att visa webbsidan ""%1""."
"You cannot add ""%1"" to the cart.","Du kan inte lägga till ""%1"" i varukorgen."
"Permissions do not depend on store views.","Behörigheter beror inte på butiker."
"Website","Webbplats"
"Customer Group","Kundgrupp"
"Action","Åtgärd"
"-- Please Select --","--Vänligen välj--"
"All Websites","Alla webbplatser"
"All Customer Groups","Alla kundgrupper"
"Allow","Tillåt"
"Deny","Avvisa"
"Use parent","Använd Förälder"
"Category Permissions Section","Kategoribehörigheter"
"Enable","Aktivera"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Kundgrupper"
"Landing Page","Landningssida"
"Allow Adding to Cart","Tillåt tillägg i varukorgen"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Catalog Category Permissions","Katalog kategoribehörigheter"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexerade behörigheter för produkter"
