"New Permission","Новое разрешение"
"You already have a permission with this scope.","You already have a permission with this scope."
"(Allow)","(Разрешить)"
"(Deny)","(Запретить)"
"Category Permissions","Права доступа к категории"
"Browsing Category","Browsing Category"
"Display Product Prices","Отображать цены товара"
"Add to Cart","Добавить в корзину"
"Yes, for Everyone","Да, для всех"
"Yes, for Specified Customer Groups","Да, для групп указанного клиента"
"No","Нет"
"No, Redirect to Landing Page","No, Redirect to Landing Page"
"Permission with the same scope","Permission with the same scope"
"You may need more permissions to access this category.","You may need more permissions to access this category."
"You may need more permissions to access this product.","You may need more permissions to access this product."
"You cannot add ""%1"" to the cart.","You cannot add ""%1"" to the cart."
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Website","Веб-сайт"
"Customer Group","Группы клиентов"
"Action","Действие"
"-- Please Select --","-- Выберите --"
"All Websites","Все веб-сайты"
"All Customer Groups","Все группы клиента"
"Allow","Разрешить"
"Deny","Запретить"
"Use parent","Use parent"
"Category Permissions Section","Category Permissions Section"
"Enable","Включить"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">предупреждение!</strong> по умолчанию эта функция ограничивает все категории."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Группы покупателей"
"Landing Page","Стартовая страница"
"Allow Adding to Cart","Allow Adding to Cart"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexed permissions for products"
