"New Permission","Nové oprávnění"
"You already have a permission with this scope.","V tomto rozsahu již oprávnění máte."
"(Allow)","(Povolit)"
"(Deny)","(Zakázat)"
"Category Permissions","Oprávnění kategorie"
"Browsing Category","Procházení kategorie"
"Display Product Prices","Zobrazit ceny produktů"
"Add to Cart","Přidat do košíku"
"Yes, for Everyone","Ano, pro každého"
"Yes, for Specified Customer Groups","Ano, pro zvolené skupiny zákazníků"
"No","Ne"
"No, Redirect to Landing Page","Ne, přesměrovat na vstupní stránku"
"Permission with the same scope","Oprávnění se stejným rozsahem"
"You may need more permissions to access this category.","K přístupu do kategorie potřebujete vyšší oprávnění."
"You may need more permissions to access this product.","K přístupu k produktu potřebujete vyšší oprávnění."
"You cannot add ""%1"" to the cart.","""%1"" nelze přidat do košíku."
"Permissions do not depend on store views.","Oprávnění nejsou závislá na zobrazeních obchodu."
"Website","Webová stránka"
"Customer Group","Zákaznická skupina"
"Action","Akce"
"-- Please Select --","-- Vyberte --"
"All Websites","Všechny weby"
"All Customer Groups","Všechny skupiny zákazníků"
"Allow","Povolit"
"Deny","Zakázat"
"Use parent","Použít nadřazený"
"Category Permissions Section","Sekce oprávnění kategorie"
"Enable","Povolit"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Skupiny zákazníků"
"Landing Page","Vstupní stránka"
"Allow Adding to Cart","Povolit přidávání do košíku"
"Disallow Catalog Search By","Zakázat vyhledávání v katalogu"
"Catalog Category Permissions","Oprávnění k kategorii katalogu"
"Indexed permissions for categories","Indexovaná oprávnění kategorií"
"Catalog Product Permissions","Oprávnění k produktu katalogu"
"Indexed permissions for products","Indexovaná oprávnění produktů"
