"New Permission","Νέα άδεια"
"You already have a permission with this scope.","Έχετε ήδη ένα δικαίωμα με αυτό το πεδίο."
"(Allow)","(Να επιτρέπεται)"
"(Deny)","(Να μην Επιτρέπεται)"
"Category Permissions","Δικαιώματα Κατηγορίας"
"Browsing Category","Περιήγηση Κατηγορίας"
"Display Product Prices","Εμφάνιση Τιμών στα Προϊόντα"
"Add to Cart","Προσθήκη στο Καλάθι"
"Yes, for Everyone","Ναι, για όλους"
"Yes, for Specified Customer Groups","Ναι, για συγκεκριμένη ομάδα πελατών"
"No","Όχι"
"No, Redirect to Landing Page","Όχι, το ανακατεύθυνση στην σελίδα προσγείωσης"
"Permission with the same scope","Άδεια με το ίδιο εύρος"
"You may need more permissions to access this category.","Ισως χρειάζεστε περισσότερα δικαιώματα για να αποκτήσετε πρόσβαση σε αυτή τη κατηγορία."
"You may need more permissions to access this product.","Ίσως χρειάζεστε περισσότερα δικαιώματα για να έχετε πρόσβαση σε αυτό το προϊόν."
"You cannot add ""%1"" to the cart.","Δεν μπορείτε να προσθέσετε το ""%1"" στο καλάθι."
"Permissions do not depend on store views.","Τα Δικαιώματα δεν εξαρτώνται από τις προβολές καταστημάτων."
"Website","Ιστοσελίδα"
"Customer Group","Ομάδα Πελατών"
"Action","Ενέργεια"
"-- Please Select --","--Παρακαλώ επιλέξτε--"
"All Websites","Όλες οι Ιστοσελίδες"
"All Customer Groups","Όλες οι Ομάδες Πελατών"
"Allow","Να επιτρέπεται"
"Deny","Να Μην Επιτρέπεται"
"Use parent","Χρήση Γονικού"
"Category Permissions Section","Ενότητα Δικαιώματων Κατηγορίας"
"Enable","Ενεργοποίηση"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Επιτρέπεται η Περιήγηση Κατηγορίας"
"Customer Groups","Ομάδες Πελατών"
"Landing Page","Σελίδα προορισμού"
"Allow Adding to Cart","Επιτρέψτε Προσθήκη στο Καλάθι"
"Disallow Catalog Search By","Να Μην Επιτρέπεται η Αναζήτηση στον Κατάλογο Από"
"Catalog Category Permissions","Δικαιώματα Καταλόγου Κατηγορίας"
"Indexed permissions for categories","Ευρετήριο δικαιωμάτων για κατηγορίες"
"Catalog Product Permissions","Δικαιώματα Καταλόγου Προϊόντων"
"Indexed permissions for products","Ευρετήριο δικαιωμάτων για προϊόντα"
