"New Permission","Nouvelle permission"
"You already have a permission with this scope.","Vous disposez déjà d'une autorisation à l'aide de ce champ d'application."
"(Allow)","(Autoriser)"
"(Deny)","(Refuser)"
"Category Permissions","Autorisations de catégorie"
"Browsing Category","Parcourir les catégories"
"Display Product Prices","Afficher le prix des produits"
"Add to Cart","Ajouter au panier"
"Yes, for Everyone","Oui, pour tout le monde"
"Yes, for Specified Customer Groups","Oui, pour les groupes clients spécifiés"
"No","Non"
"No, Redirect to Landing Page","Non, rediriger vers la page d'accueil"
"Permission with the same scope","Autorisation avec la même portée"
"You may need more permissions to access this category.","Vous avez besoin de plus d'autorisations pour accéder à cette catégorie."
"You may need more permissions to access this product.","Vous avez besoin de plus d'autorisations pour accéder à ce produit."
"You cannot add ""%1"" to the cart.","Vous ne pouvez pas ajouter « %1 » au panier."
"Permissions do not depend on store views.","Les droits ne dépendent pas des vues magasin."
"Website","Site web"
"Customer Group","Groupe de clients"
"Action","Action"
"-- Please Select --","-- Faites un choix --"
"All Websites","Tous les sites web"
"All Customer Groups","Tous les groupes de clients"
"Allow","Autoriser"
"Deny","Refuser"
"Use parent","Utiliser un parent"
"Category Permissions Section","Section des autorisations de catégorie"
"Enable","Activer"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Attention !</strong> Par défaut, cette fonctionnalité limite toutes les catégories."
"Allow Browsing Category","Autoriser la navigation dans la catégorie"
"Customer Groups","Groupes clients"
"Landing Page","Page de destination"
"Allow Adding to Cart","Permettre l’ajout au panier"
"Disallow Catalog Search By","Interdire la recherche catalogue"
"Catalog Category Permissions","Autorisations de catégorie catalogue"
"Indexed permissions for categories","Index des autorisations pour les catégories"
"Catalog Product Permissions","Autorisations de produit catalogue"
"Indexed permissions for products","Index des autorisations pour les produits"
