"New Permission","Nuova autorizzazione"
"You already have a permission with this scope.","Hai già un'autorizzazione in questo ambito."
"(Allow)","(Consentire)"
"(Deny)","(Negare)"
"Category Permissions","Permessi categoria"
"Browsing Category","Navigazione categoria"
"Display Product Prices","Visualizza i prezzi dei prodotti"
"Add to Cart","Aggiungi al Carrello"
"Yes, for Everyone","Sì, per tutti"
"Yes, for Specified Customer Groups","Sì, per i gruppi cliente specificati"
"No","No"
"No, Redirect to Landing Page","No, Reindirizza alla Landing Page"
"Permission with the same scope","Permessi dello stesso ambito"
"You may need more permissions to access this category.","Potresti aver bisogno di ulteriori permessi per accedere a questa categoria."
"You may need more permissions to access this product.","Potresti aver bisogno di ulteriori permessi per accedere a questa prodotto."
"You cannot add ""%1"" to the cart.","Non è possibile aggiungere ""%1"" al carrello."
"Permissions do not depend on store views.","I permessi non dipendono dalla vista negozio."
"Website","Sito Web"
"Customer Group","Gruppo Cliente"
"Action","Azione"
"-- Please Select --","-- Seleziona --"
"All Websites","Tutti i Website"
"All Customer Groups","Tutti i gruppi di clienti"
"Allow","Permetti"
"Deny","Nega"
"Use parent","Usa parente"
"Category Permissions Section","Sezione Permessi Categoria"
"Enable","Attiva"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Gruppi cliente"
"Landing Page","Landing Page"
"Allow Adding to Cart","Consentire l'aggiunta al carrello"
"Disallow Catalog Search By","Non consentire la ricerca nel catalogo per"
"Catalog Category Permissions","Permessi categoria catalogo"
"Indexed permissions for categories","Permessi indicizzati per categorie"
"Catalog Product Permissions","Permessi prodotto catalogo"
"Indexed permissions for products","Permessi indicizzati per prodotti"
