"New Permission","Yeni izin"
"You already have a permission with this scope.","Zaten bu kapsamda bir izniniz var."
"(Allow)","(İzin ver)"
"(Deny)","(Yasakla)"
"Category Permissions","Kategori İzinleri"
"Browsing Category","Kategori tarama"
"Display Product Prices","Ürün Fiyatlarını Göster"
"Add to Cart","Sepete Ekle"
"Yes, for Everyone","Evet, herkes için"
"Yes, for Specified Customer Groups","Evet, belirtilen müşteri grupları için"
"No","Hayır"
"No, Redirect to Landing Page","Hayır, Açılış Sayfasına Yönlendirme"
"Permission with the same scope","Aynı kapsamdaki izin"
"You may need more permissions to access this category.","Bu kategoriye erişmek için daha fazla izin gerekebilir."
"You may need more permissions to access this product.","Bu ürüne erişmek için daha fazla izin gerekebilir."
"You cannot add ""%1"" to the cart.","""%1"" sepete eklenememektedir."
"Permissions do not depend on store views.","İzinler mağaza görünümlerine bağlı değildir."
"Website","Web sitesi"
"Customer Group","Müşteri Grupları"
"Action","Eylem"
"-- Please Select --","-- Lütfen Seçiniz --"
"All Websites","Tüm Web siteleri"
"All Customer Groups","Tüm Müşteri Grupları"
"Allow","İzin Ver"
"Deny","Reddet"
"Use parent","Üst kullan"
"Category Permissions Section","Kategori İzinleri Bölümü"
"Enable","Aktif et"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Kategorisinin Görüntülenmesine İzin Ver"
"Customer Groups","Müşteri Grupları"
"Landing Page","Açılış sayfası"
"Allow Adding to Cart","Sepetinize Eklemeye İzin Ver"
"Disallow Catalog Search By","Katalog Aramaya İzin Vermez"
"Catalog Category Permissions","Katalog Kategorisi İzinler"
"Indexed permissions for categories","Dizin oluşturulmuş izinleri kategorisi"
"Catalog Product Permissions","Katalog Ürün İzinleri"
"Indexed permissions for products","Ürünler için dizine alınmış izinler"
