"New Permission","新權限"
"You already have a permission with this scope.","You already have a permission with this scope."
"(Allow)","(Allow)"
"(Deny)","(Deny)"
"Category Permissions","Category Permissions"
"Browsing Category","Browsing Category"
"Display Product Prices","Display Product Prices"
"Add to Cart","加到購物車"
"Yes, for Everyone","是，給每個人"
"Yes, for Specified Customer Groups","是，給指定的客戶群。"
"No","否"
"No, Redirect to Landing Page","No, Redirect to Landing Page"
"Permission with the same scope","Permission with the same scope"
"You may need more permissions to access this category.","You may need more permissions to access this category."
"You may need more permissions to access this product.","You may need more permissions to access this product."
"You cannot add ""%1"" to the cart.","You cannot add ""%1"" to the cart."
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Website","網站"
"Customer Group","Customer Group"
"Action","操作"
"-- Please Select --","-- 請選擇 --"
"All Websites","所有網站"
"All Customer Groups","All Customer Groups"
"Allow","Allow"
"Deny","Deny"
"Use parent","Use parent"
"Category Permissions Section","Category Permissions Section"
"Enable","啟用"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","客戶群組"
"Landing Page","Landing Page"
"Allow Adding to Cart","Allow Adding to Cart"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexed permissions for products"
