"New Permission","新しい権限"
"You already have a permission with this scope.","あなたはすでにこのスコープで権限を持っています。"
"(Allow)","(許可)"
"(Deny)","(拒否)"
"Category Permissions","カテゴリ権限"
"Browsing Category","カテゴリの閲覧"
"Display Product Prices","商品価格を表示"
"Add to Cart","カートに入れる"
"Yes, for Everyone","はい、誰にでも"
"Yes, for Specified Customer Groups","はい。指定された顧客グループのためです。"
"No","No"
"No, Redirect to Landing Page","いいえ、ランディングページにリダイレクトします"
"Permission with the same scope","同じスコープの権限"
"You may need more permissions to access this category.","このカテゴリにアクセスするにはさらに多くの権限が必要な場合があります。"
"You may need more permissions to access this product.","この製品にアクセスするにはさらに多くの権限が必要な場合があります。"
"You cannot add ""%1"" to the cart.","""%1"" をカートに追加することはできません。"
"Permissions do not depend on store views.","権限はストアビューに依存しません。"
"Website","ウェブサイト"
"Customer Group","顧客グループ"
"Action","アクション"
"-- Please Select --","-- 選択してください --"
"All Websites","すべてのウェブサイト"
"All Customer Groups","すべての顧客グループ"
"Allow","許可"
"Deny","否定"
"Use parent","親を使用する"
"Category Permissions Section","カテゴリ権限セクション"
"Enable","有効"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","カテゴリの閲覧を許可"
"Customer Groups","顧客グループ"
"Landing Page","ランディングページ"
"Allow Adding to Cart","カートに追加を許可"
"Disallow Catalog Search By","商品検索を不許可"
"Catalog Category Permissions","カタログカテゴリ権限"
"Indexed permissions for categories","カテゴリのインデックス付きアクセス許可"
"Catalog Product Permissions","カタログ製品のアクセス許可"
"Indexed permissions for products","製品のインデックス付きのアクセス許可"
