"New Permission","새 권한"
"You already have a permission with this scope.","You already have a permission with this scope."
"(Allow)","(Allow)"
"(Deny)","(Deny)"
"Category Permissions","Category Permissions"
"Browsing Category","Browsing Category"
"Display Product Prices","상품 가격 표시"
"Add to Cart","장바구니에 추가"
"Yes, for Everyone","예, 모두 사용"
"Yes, for Specified Customer Groups","예, 지정된 고급 그룹만 사용"
"No","아니오"
"No, Redirect to Landing Page","No, Redirect to Landing Page"
"Permission with the same scope","Permission with the same scope"
"You may need more permissions to access this category.","You may need more permissions to access this category."
"You may need more permissions to access this product.","You may need more permissions to access this product."
"You cannot add ""%1"" to the cart.","""%1""를 장바구니에 추가할 수 없습니다."
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Website","웹사이트"
"Customer Group","고객 그룹"
"Action","동작"
"-- Please Select --","--선택하세요--"
"All Websites","모든 웹사이트 "
"All Customer Groups","All Customer Groups"
"Allow","Allow"
"Deny","Deny"
"Use parent","Use parent"
"Category Permissions Section","Category Permissions Section"
"Enable","활성"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","고객 그룹"
"Landing Page","Landing Page"
"Allow Adding to Cart","Allow Adding to Cart"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexed permissions for products"
