"New Permission","Nieuwe Bevoegdheid"
"You already have a permission with this scope.","Je hebt al bevoegdheid binnen dit bereik."
"(Allow)","(toestaan)"
"(Deny)","(weiger)"
"Category Permissions","Categorie Bevoegdheden"
"Browsing Category","Categorie doorbladeren"
"Display Product Prices","Geef productprijzen weer"
"Add to Cart","In Winkelwagen"
"Yes, for Everyone","Ja, voor iedereen"
"Yes, for Specified Customer Groups","Ja, voor opgegeven klantengroepen"
"No","Nee"
"No, Redirect to Landing Page","Nee, stuur door naar landingspagina"
"Permission with the same scope","Permissie met dezelfde scope"
"You may need more permissions to access this category.","Je hebt mogelijk meer bevoegdheden nodig voor toegang tot deze categorie."
"You may need more permissions to access this product.","Je hebt mogelijk meer bevoegdheden nodig voor toegang tot dit product."
"You cannot add ""%1"" to the cart.","Je kan ""%1"" niet toevoegen aan de winkelwagen."
"Permissions do not depend on store views.","Bevoegdheden hangen niet af van winkelaanzichten."
"Website","Website"
"Customer Group","Klantengroep"
"Action","Actie"
"-- Please Select --","-- Selecteer --"
"All Websites","Alle Websites"
"All Customer Groups","Alle klantengroepen"
"Allow","Toestaan"
"Deny","Weigeren"
"Use parent","Gebruik ouder"
"Category Permissions Section","Toestemmingen categorie"
"Enable","Activeer"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Waarschuwing!</strong> Standaard zal deze functie alle categorieën beperken."
"Allow Browsing Category","Toestaan om categorie te bekijken"
"Customer Groups","Klantengroepen"
"Landing Page","Landings Pagina"
"Allow Adding to Cart","Toestaan om aan winkelwagen toe te voegen"
"Disallow Catalog Search By","Weiger doorzoeken van catalogus op"
"Catalog Category Permissions","Catalogus Categorie Bevoegdheden"
"Indexed permissions for categories","Geïndexeerde bevoegdheden voor categorieën"
"Catalog Product Permissions","Catalogus Product Bevoegdheden"
"Indexed permissions for products","Geïndexeerde bevoegdheden voor producten"
