"New Permission","Új jogosultság"
"You already have a permission with this scope.","Önnek már van jogosultsága ebben a hatókörben."
"(Allow)","(Engedélyez)"
"(Deny)","(Tilt)"
"Category Permissions","Kategória jogosultságok"
"Browsing Category","Kategóriák böngészése"
"Display Product Prices","Termék árak megjelenítése"
"Add to Cart","Kosárba"
"Yes, for Everyone","Igen, mindenkinek"
"Yes, for Specified Customer Groups","Igen, meghatározott vásárlói csoportoknak"
"No","Nem "
"No, Redirect to Landing Page","Nem, és átirányítás a nyitóoldalra"
"Permission with the same scope","Jogosultság ugyan ezzel a hatókörrel"
"You may need more permissions to access this category.","További jogosultságokra van szükség hogy hozzáférjen ehhez a kategóriához."
"You may need more permissions to access this product.","További jogosultságokra van szükség hogy hozzáférjen ehhez a termékhez."
"You cannot add ""%1"" to the cart.","""%1"" nem adható a kosárhoz."
"Permissions do not depend on store views.","A jogosultságok nem függenek a bolt nézettől."
"Website","Honlap"
"Customer Group","Vásárlói csoport"
"Action","Akció"
"-- Please Select --","-- Kérem válasszon --"
"All Websites","Minden honlap"
"All Customer Groups","Minden vásárló csoport"
"Allow","Engedélyez"
"Deny","Tiltás"
"Use parent","Szülő használata"
"Category Permissions Section","Kategória jogosultságok szakasza"
"Enable","Bekapcsolás"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Kategóriák böngészésének engedélyezése"
"Customer Groups","Vevői csoportok"
"Landing Page","Nyitóoldal"
"Allow Adding to Cart","Kosárba rakás engedélyezése"
"Disallow Catalog Search By","Katalógus keresés letiltása"
"Catalog Category Permissions","Katalógus kategóriák jogosultságai"
"Indexed permissions for categories","Indexelt jogosultságok a kategóriákhoz"
"Catalog Product Permissions","Katalógus termékek jogosultságai"
"Indexed permissions for products","Indexelt jogosultságok a termékekhez"
