"New Permission","Nova dozvola"
"You already have a permission with this scope.","Već imate dozvolu u ovom opsegu."
"(Allow)","(Dozvoli)"
"(Deny)","(Zabrani)"
"Category Permissions","Dozvole kategorija"
"Browsing Category","Pretraživanje kategorije"
"Display Product Prices","Prikaži cene proizvoda"
"Add to Cart","Dodaj u korpu"
"Yes, for Everyone","Da, za sve"
"Yes, for Specified Customer Groups","Da, za navedenu grupu kupaca"
"No","Ne"
"No, Redirect to Landing Page","Ne, preusmeri na Landing stranicu"
"Permission with the same scope","Dozvola sa istim opsegom"
"You may need more permissions to access this category.","Potrebna vam je dozvola za pristup ovoj kategoriji."
"You may need more permissions to access this product.","Potrebna vam je dozvola za pristup ovom proizvodu."
"You cannot add ""%1"" to the cart.","Ne možete dodati ""%1"" u korpu."
"Permissions do not depend on store views.","Dozvole ne zavise od pregleda prodavnice."
"Website","Web sajt"
"Customer Group","Grupa kupaca"
"Action","Akcija"
"-- Please Select --","-- Molim odaberite --"
"All Websites","Sve Web lokacije"
"All Customer Groups","Sve grupe kupaca"
"Allow","Dozvoli"
"Deny","Zabrani"
"Use parent","Koristi roditeljski"
"Category Permissions Section","Odeljak dozvola kategorija"
"Enable","Omogući"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Omogući pretraživanje kategorija"
"Customer Groups","Grupe kupaca"
"Landing Page","Landing Stranica"
"Allow Adding to Cart","Dozvoli dodavanje u korpu"
"Disallow Catalog Search By","Onemogući pretragu kataloga po"
"Catalog Category Permissions","Dozvole kataloga kategorija"
"Indexed permissions for categories","Indeksirane dozvole za kategorije"
"Catalog Product Permissions","Dozvole kataloga proizvoda"
"Indexed permissions for products","Indeksirane dozvole za proizvode"
