"New Permission","Нова дозвола"
"You already have a permission with this scope.","Већ имате дозволу у овом опсегу."
"(Allow)","(Дозволи)"
"(Deny)","(Забрани)"
"Category Permissions","Дозволе категорија"
"Browsing Category","Претраживање категорије"
"Display Product Prices","Прикажи цене производа"
"Add to Cart","Додај у корпу"
"Yes, for Everyone","Да, за све"
"Yes, for Specified Customer Groups","Да, за наведену групу купаца"
"No","Не"
"No, Redirect to Landing Page","Не, преусмери на Ландинг страницу"
"Permission with the same scope","Дозвола са истим опсегом"
"You may need more permissions to access this category.","Потребна вам је дозвола за приступ овој категорији."
"You may need more permissions to access this product.","Потребна вам је дозвола за приступ овом производу."
"You cannot add ""%1"" to the cart.","Не можете додати ""%1"" у корпу."
"Permissions do not depend on store views.","Дозволе не зависе од прегледа продавнице."
"Website","Wеб сајт"
"Customer Group","Група купаца"
"Action","Акција"
"-- Please Select --","-- Молим одаберите --"
"All Websites","Све Wеб локације"
"All Customer Groups","Све групе купаца"
"Allow","Дозволи"
"Deny","Забрани"
"Use parent","Користи родитељски"
"Category Permissions Section","Одељак дозвола категорија"
"Enable","Омогући"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<стронг стyле=""цолор:ред"">Упозорење!</стронг> Подразумевано, ова функција ограничава све категорије."
"Allow Browsing Category","Омогући претраживање категорија"
"Customer Groups","Групе купаца"
"Landing Page","Ландинг Страница"
"Allow Adding to Cart","Дозволи додавање у корпу"
"Disallow Catalog Search By","Онемогући претрагу каталога по"
"Catalog Category Permissions","Дозволе каталога категорија"
"Indexed permissions for categories","Индексиране дозволе за категорије"
"Catalog Product Permissions","Дозволе каталога производа"
"Indexed permissions for products","Индексиране дозволе за производе"
