"New Permission","Нови права"
"You already have a permission with this scope.","Вече имате разрешение с този обхват."
"(Allow)","(Позволи)"
"(Deny)","(Откажи)"
"Category Permissions","Права за Категория"
"Browsing Category","Разглеждане по категория"
"Display Product Prices","Показване на цените на продуктите"
"Add to Cart","Добави в количка"
"Yes, for Everyone","Да, за всеки"
"Yes, for Specified Customer Groups","Да, за определени клиентски групи"
"No","Не"
"No, Redirect to Landing Page","Не, пренасочване към целева страница"
"Permission with the same scope","Разрешение със същия обхват"
"You may need more permissions to access this category.","Може да Ви трябват повече права за достъп до тази категория."
"You may need more permissions to access this product.","Може да Ви трябват повече права за достъп до този продукт."
"You cannot add ""%1"" to the cart.","Не можете да добавяте ""%1"" в количката."
"Permissions do not depend on store views.","Разрешенията не зависят от изгледа на магазина."
"Website","Уебсайт"
"Customer Group","Клиентска група"
"Action","Действие"
"-- Please Select --","-- Моля изберете --"
"All Websites","Всички уеб сайтове"
"All Customer Groups","Всички клиентски групи"
"Allow","Разреши"
"Deny","Забрани"
"Use parent","Използвай основен"
"Category Permissions Section","Раздел права за категория"
"Enable","Разреши"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Позволи разглеждане по категория"
"Customer Groups","Клиентски групи"
"Landing Page","Целева страница"
"Allow Adding to Cart","Разреши добавяне към количката"
"Disallow Catalog Search By","Забрани търсене в каталога по"
"Catalog Category Permissions","Разрешения за категоризиране на каталога"
"Indexed permissions for categories","Индексирани разрешения за категории"
"Catalog Product Permissions","Разрешения за категории на продукт"
"Indexed permissions for products","Индексирани разрешения за продукти"
