"Percent Discount","Kortingspercentage"
"-- Select --","-- Selecteer --"
"Dynamic","Dynamisch"
"Fixed","Vast"
"Create New Option","Nieuwe optie maken"
"Bundle Items","Bundel-artikelen"
"Add Products to Option","Voeg producten toe aan Optie"
"Close","Sluiten"
"Delete Option","Verwijder optie"
"What are you looking for?","Wat zoek je?"
"ID","ID"
"Product","Product"
"SKU","Art.nr."
"Price","prijs"
"Delete","Verwijder"
"Use Default Value","Gebruik standaard waarde"
"There is no defined renderer for ""%1"" option type.","Er is geen weergave gedefinieerd voor optietype ""%1""."
"Only implemented for bundle product","Only implemented for bundle product"
"Product with specified sku: ""%1"" is not a bundle product","Product with specified sku: ""%1"" is not a bundle product"
"Bundle product could not contain another composite product","Bundle product could not contain another composite product"
"Id field of product link is required","Id field of product link is required"
"Can not find product link with id ""%1""","Can not find product link with id ""%1"""
"Could not save child: ""%1""","Kan kind niet opslaan: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Product met opgegeven art.nr: '%1' bevat geen optie: '%2'"
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Kind met opgegeven art.nr: '%1' is al toegewezen aan product: '%2'"
"Product with specified sku: %1 is not a bundle product","Product with specified sku: %1 is not a bundle product"
"Requested bundle option product doesn't exist","Requested bundle option product doesn't exist"
"%fieldName is a required field.","%fieldName is a required field."
"Requested option doesn't exist","Requested option doesn't exist"
"Cannot delete option with id %1","Cannot delete option with id %1"
"Could not save option","Could not save option"
"Price Range","Prijsrange"
"As Low as","Vanaf"
"Together","Samen"
"Separately","Apart"
"Please specify product option(s).","Geef productoptie(s) op."
"The options you selected are not available.","De opties die Je hebt geselecteerd zijn niet beschikbaar."
"The required options you selected are not available.","De vereiste opties, die Je hebt geselecteerd, zijn niet beschikbaar."
"Please select all required options.","Selecteer alle vereiste opties."
"We can't add this item to your shopping cart right now.","We kunnen dit product nu niet aan je winkelwagen toevoegen."
"N/A","n.v.t."
"Percent","Percentage"
"We can't save custom-defined options for bundles with dynamic pricing.","Kan customopties bij bundels met dynamische prijzen niet opslaan."
"Cancel","Annuleer"
"Add Selected Products","Voeg geselecteerde producten toe"
"Add Option","Voeg optie toe"
"New Option","Nieuwe optie"
"Option Title","Titel optie"
"Default Title","Standaardtitel"
"Store View Title","Winkelaanzicht Titel"
"Input Type","Invoertype"
"Drop-down","Drop-down"
"Radio Buttons","Radio buttons"
"Checkbox","Selectievakje"
"Multiple Select","Multi-select"
"Required","Vereist"
"Is Default","Is standaard"
"Name","Naam"
"Default Quantity","Standaard aantal"
"User Defined","Door de gebruiker gedefinieerd"
"Price Type","Prijstype"
"None","Geen"
"Quantity:","Aantal:"
"Choose a selection...","Kies een optie&hellip;"
"Ship Bundle Items","Bundel-artikelen verzenden"
"Position","Positie"
"There are no products in this option.","Er zijn geen producten in deze optie."
"Default","Standaard"
"Ordered","Besteld"
"Invoiced","Gefactureerd"
"Shipped","Verzonden"
"Refunded","Teruggestort"
"Canceled","Geannuleerd"
"As low as","Vanaf"
"Regular Price","Normale prijs"
"From","Van"
"To","Aan"
"Buy %1 with %2 discount each","%1 kopen met %2 korting elk"
"Go back to product details","Ga terug naar Productgegevens"
"Customize and Add to Cart","Aanpassen en aan winkelwagen toevoegen"
"* Required Fields","* Verplichte velden"
"Your Customization","Je aanpassing"
"Availability","Beschikbaarheid"
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
"Summary","Samenvatting"
"%1 x %2","%1 x %2"
"Availability:","Beschikbaarheid:"
"Quantity","Aantal"
"Customize %1","%1 aanpassen"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"Gift Message","Cadeau-bericht"
"From:","Van:"
"To:","Tot:"
"Message:","Bericht:"
"Product Name","Product Naam"
"Subtotal","Subtotaal"
"Discount Amount","Korting"
"Row Total","Rijtotaal"
"Qty Invoiced","Gefactureerd aantal"
"Qty Shipped","Verzonden aantal"
"Add Products to New Option","Producten toevoegen aan nieuwe optie"
"Add Products to Option ""%1""","Producten toevoegen aan optie ""%1"""
"Select...","Selecteer..."
"Status","status"
"Thumbnail","Mini-afbeelding"
"Type","Soort"
"Special Price","Speciale prijs"
"This is implemented for bundle products only.","Dit is alleen geïmplementeerd voor bundelproducten."
"The product with the ""%1"" SKU isn't a bundle product.","Het product met het ""%1"" SKU is geen bundel product."
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product."
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The option couldn't be saved.","De optie kan niet worden opgeslagen."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The option with ""%1"" ID can't be deleted.","De optie met ID ""%1"" kan niet worden verwijderd."
