"Percent Discount","Alennusprosentti"
"-- Select --","-- Valitse --"
"Dynamic","Dynaaminen"
"Fixed","Kiinteä"
"Create New Option","Luo uusi vaihtoehto"
"Bundle Items","Pakettituotteet"
"Add Products to Option","Tuotteiden lisääminen ryhmään"
"Close","Sulje"
"Delete Option","Delete Option"
"What are you looking for?","Mitä olet etsimässä?"
"ID","Tunnus"
"Product","Tuote"
"SKU","Tuotenro"
"Price","Hinta"
"Delete","Poista"
"Use Default Value","Käytä oletusarvoa"
"There is no defined renderer for ""%1"" option type.","There is no defined renderer for ""%1"" option type."
"Only implemented for bundle product","Only implemented for bundle product"
"Product with specified sku: ""%1"" is not a bundle product","Product with specified sku: ""%1"" is not a bundle product"
"Bundle product could not contain another composite product","Bundle product could not contain another composite product"
"Id field of product link is required","Id field of product link is required"
"Can not find product link with id ""%1""","Can not find product link with id ""%1"""
"Could not save child: ""%1""","Could not save child: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Product with specified sku: ""%1"" does not contain option: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Child with specified sku: ""%1"" already assigned to product: ""%2"""
"Product with specified sku: %1 is not a bundle product","Product with specified sku: %1 is not a bundle product"
"Requested bundle option product doesn't exist","Pyydettyä pakettivaihtoehtoa ei ole olemassa"
"%fieldName is a required field.","%fieldName on pakollinen kenttä."
"Requested option doesn't exist","Pyydettyä vaihtoehtoa ei ole olemassa"
"Cannot delete option with id %1","Cannot delete option with id %1"
"Could not save option","Could not save option"
"Price Range","Hintahaarukka"
"As Low as","Alkaen"
"Together","Yhdessä"
"Separately","Erikseen"
"Please specify product option(s).","Please specify product option(s)."
"The options you selected are not available.","The options you selected are not available."
"The required options you selected are not available.","The required options you selected are not available."
"Please select all required options.","Please select all required options."
"We can't add this item to your shopping cart right now.","Emme voi lisätä tätä tuotetta ostoskoriisi juuri nyt."
"N/A","Ei tietoa"
"Percent","Prosenttia"
"We can't save custom-defined options for bundles with dynamic pricing.","We can't save custom-defined options for bundles with dynamic pricing."
"Cancel","Peruuta"
"Add Selected Products","Lisää valitut tuotteet"
"Add Option","Lisää valinta"
"New Option","Uusi Valinta"
"Option Title","Option Title"
"Default Title","Default Title"
"Store View Title","Kauppanäkymän otsikko"
"Input Type","Syötteen tyyppi"
"Drop-down","Pudotusvalikko"
"Radio Buttons","Valintanapit"
"Checkbox","Valintaruutu"
"Multiple Select","Monivalinta"
"Required","Vaadittu"
"Is Default","Oletus"
"Name","Nimi"
"Default Quantity","Oletusmäärä"
"User Defined","User Defined"
"Price Type","Hintatyyppi"
"None","Ei mikään"
"Quantity:","Määrä:"
"Choose a selection...","Choose a selection..."
"Ship Bundle Items","Ship Bundle Items"
"Position","Sijainti"
"There are no products in this option.","There are no products in this option."
"Default","Oletus"
"Ordered","Tilatut"
"Invoiced","Laskutettu"
"Shipped","Lähetetty"
"Refunded","Hyvitetty"
"Canceled","Peruutettu"
"As low as","Alkaen"
"Regular Price","Normaalihinta"
"From","Alkaen"
"To","Asti"
"Buy %1 with %2 discount each","Buy %1 with %2 discount each"
"Go back to product details","Palaa tuotetietoihin"
"Customize and Add to Cart","Muokkaa ja lisää ostoskoriin"
"* Required Fields","* Pakolliset kentät"
"Your Customization","Your Customization"
"Availability","Saatavuus"
"In stock","Varastossa"
"Out of stock","Ei varastossa"
"Summary","Yhteenveto"
"%1 x %2","%1 x %2"
"Availability:","Saatavuus:"
"Quantity","Määrä"
"Customize %1","Customize %1"
"No options of this product are available.","No options of this product are available."
"Gift Message","Lahjaviesti"
"From:","Alkaen:"
"To:","Vastaanottaja:"
"Message:","Viesti:"
"Product Name","Tuotenimi"
"Subtotal","Välisumma"
"Discount Amount","Alennuksen määrä"
"Row Total","Rivin summa"
"Qty Invoiced","Laskutettu määrä"
"Qty Shipped","Lähetetty määrä"
"Add Products to New Option","Add Products to New Option"
"Add Products to Option ""%1""","Tuotteiden lisääminen vaihtoehto ”%1”"
"Select...","Valitse..."
"Status","Tila"
"Thumbnail","Pienoiskuva"
"Type","Tyyppi"
"Special Price","Tarjoushinta"
"This is implemented for bundle products only.","This is implemented for bundle products only."
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product."
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product."
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The option couldn't be saved.","The option couldn't be saved."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
