"Page not found.","Страницата не е намерена."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Благодарим Ви, че се свързахте с нас с вашите коментари и въпроси. Ще Ви отговорим много скоро."
"An error occurred while processing your form. Please try again later.","Нещо се обърка докато подавахте поръчката си. Моля опитайте по-късно."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Задължителни полета"
"Write Us","Пишете ни"
"Jot us a note and we’ll get back to you as quickly as possible.","Вашето мнение е ценно за нас. Споделете ни го, а ние ще се свържем с Вас при първа възможност."
"Name","Име"
"Email","Имейл"
"Phone Number","Телефон"
"What’s on your mind?","Какво мислите?"
"Submit","Изпрати"
"Contact Form","Форма за контакт"
"Phone","Телефон"
"Message","Съобщение"
"Contacts Section","Раздел ""Контакти"""
"Contacts","Контакти"
"Contact Us","За контакт"
"Enable Contact Us","Разреши свържете се с нас"
"Email Options","Опции за имейл"
"Send Emails To","Изпращане на имейли до"
"Email Sender","Имейл подател"
"Email Template","Шаблон на имейл"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Имейл шаблон, избран въз основа на тема връщане, когато ""По подразбиране"" опция е избрана."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Въведете името и опитайте отново."
"Enter the comment and try again.","Въведете коментар и опитайте отново."
"The email address is invalid. Verify the email address and try again.","Имейл адресът е невалиден. Проверете имейл адреса и опитайте отново."
