"Page not found.","Siden finnes ikke."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Takk for at du kontaktet oss med dine kommentarer og spørsmål. Vi vil svare deg snart."
"An error occurred while processing your form. Please try again later.","En feil oppstod under håndtering av skjemaet. Prøv igjen senere."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Nødvendige felt"
"Write Us","Skriv til oss"
"Jot us a note and we’ll get back to you as quickly as possible.","Send oss en beskjed, og vi vil komme tilbake til deg så raskt som mulig."
"Name","Navn"
"Email","E-post"
"Phone Number","Telefonnummer"
"What’s on your mind?","Hva har du på hjertet?"
"Submit","Lagre"
"Contact Form","Kontaktskjema:"
"Phone","Phone"
"Message","Message"
"Contacts Section","Kontakter-delen"
"Contacts","Kontakter"
"Contact Us","Kontakt oss"
"Enable Contact Us","Aktiver kontakt"
"Email Options","Alternativer for e-post"
"Send Emails To","Sende e-post til"
"Email Sender","E-post avsender"
"Email Template","E-post mal"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmal valgt basert på tema fallback når ""Default"" alternativet er valgt."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
