"Page not found.","Pagina nu este găsită."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Vă mulțumim că ne-ați contactat pentru comentarii și întrebări. Vă vom răspunde în cel mai scurt timp."
"An error occurred while processing your form. Please try again later.","A apărut o eroare la procesarea formularului. Vă rugăm să încercați din nou mai târziu."
"Name is missing","Lipsește numele"
"Comment is missing","Comentariul lipsește"
"Invalid email address","Adresa de email invalidă"
"* Required Fields","* Campuri obligatorii"
"Write Us","Scrieți-ne"
"Jot us a note and we’ll get back to you as quickly as possible.","Lăsați un comentariu și vă vom răspunde cât mai curând posibil."
"Name","Numeric"
"Email","Email"
"Phone Number","Număr de telefon"
"What’s on your mind?","La ce te gândești?"
"Submit","Trimite"
"Contact Form","Formular de contact"
"Phone","Telefon"
"Message","Mesaj"
"Contacts Section","Secțiunea de contacte"
"Contacts","Contacte"
"Contact Us","Contactați-ne"
"Enable Contact Us","Activați Contactați-ne"
"Email Options","Opțiuni Email"
"Send Emails To","Trimiteți Email către"
"Email Sender","Expeditor email"
"Email Template","Șablon email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Șablon email ales pe baza temei fallback atunci când opțiunea ""Implicit"" este selectată."
"We can't process your request right now. Sorry, that's all we know.","Nu putem procesa cererea ta acum. Ne pare rău, asta e tot ce știm."
"Name: %name","Nume: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Nr. De telefon: %telephone"
"Comment: %comment","Comentariu: %comment"
"Enter the Name and try again.","Introduceți numele și încercați din nou."
"Enter the comment and try again.","Introduceți comentariul și încercați din nou."
"The email address is invalid. Verify the email address and try again.","Adresa de e-mail nu este validă. Verificați adresa de e-mail și încercați din nou."
