"Page not found.","Sivua ei löydy."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Kiitos yhteydenotostasi! Vastaamme sinulle pian."
"An error occurred while processing your form. Please try again later.","Virhe käsiteltäessä lomaketta. Yritä myöhemmin uudelleen."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Pakolliset kentät"
"Write Us","Kirjoita meille"
"Jot us a note and we’ll get back to you as quickly as possible.","Lähetä meille viesti alla olevalla lomakkeella niin palaamme vastauksen kanssa mahdollisimman pian."
"Name","Nimi"
"Email","Sähköposti"
"Phone Number","Puhelinnumero"
"What’s on your mind?","Mikä on mielessäsi?"
"Submit","Lähetä"
"Contact Form","Yhteydenottolomake"
"Phone","Puhelin"
"Message","Viesti"
"Contacts Section","Yhteystiedot"
"Contacts","Kontaktit"
"Contact Us","Ota yhteyttä"
"Enable Contact Us","Ota yhteydenottolomake käyttöön"
"Email Options","Sähköpostiasetukset"
"Send Emails To","Lähetä sähköpostit"
"Email Sender","Sähköpostin Lähettäjä"
"Email Template","Sähköpostimalli"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
