"Page not found.","પેજ નથી મળ્યું."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","તમારી ટિપ્પણીઓ અને પ્રશ્નો સાથે અમારો સંપર્ક કરવા બદલ આભાર. અમે તમને ખૂબ જ ઝડપથી જવાબ આપીશું."
"An error occurred while processing your form. Please try again later.","તમારા ફોર્મની પ્રક્રિયા કરતી વખતે એક ભૂલ આવી. પછીથી ફરી પ્રયત્ન કરો."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* જરૂરી માહિતી"
"Write Us","અમને લખો"
"Jot us a note and we’ll get back to you as quickly as possible.","અમને એક નોંધ લખો અને અમે શક્ય તેટલી ઝડપથી તમારી પાસે પાછા આવીશું."
"Name","નામ"
"Email","ઇમેઇલ"
"Phone Number","ફોન નંબર"
"What’s on your mind?","તમારા મગજમાં શું છે?"
"Submit","સબમિટ કરો"
"Contact Form","સંપર્ક ફોર્મ"
"Phone","Phone"
"Message","Message"
"Contacts Section","સંપર્કો વિભાગ"
"Contacts","સંપર્કો"
"Contact Us","અમારો સંપર્ક કરો"
"Enable Contact Us","અમારો સંપર્ક સક્ષમ કરો"
"Email Options","ઇમેઇલ વિકલ્પો"
"Send Emails To","ઇમેઇલ મોકલો"
"Email Sender","ઇમેઇલ પ્રેષક"
"Email Template","ઇમેઇલ ઢાંચો"
"Email template chosen based on theme fallback when ""Default"" option is selected.","જ્યારે ""ડિફૉલ્ટ"" વિકલ્પ પસંદ કરવામાં આવે ત્યારે થીમ ફૉલબેક પર આધારિત ઇમેઇલ નમૂનો પસંદ કરે છે."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
