"Page not found.","Stránka sa nenašla."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Ďakujeme že ste nám zaslali Váš názor. V prípade dotazu Vás budeme čoskoro kontaktovať."
"An error occurred while processing your form. Please try again later.","Počas spracovania formulára sa vyskytla chyba. Skúste znova neskôr."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Povinné políčka"
"Write Us","Napíšte nám"
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible."
"Name","Meno"
"Email","E-mail"
"Phone Number","Telefónne číslo"
"What’s on your mind?","Čo máte na mysli?"
"Submit","Potvrdiť"
"Contact Form","Kontaktný formulár"
"Phone","Phone"
"Message","Message"
"Contacts Section","Contacts Section"
"Contacts","Kontakty"
"Contact Us","Kontaktujte nás"
"Enable Contact Us","Povoliť kontaktujte nás"
"Email Options","Email Options"
"Send Emails To","Send Emails To"
"Email Sender","Odosielateľ emailu"
"Email Template","Šablóny emailov"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šablóna pre e-mail zvolená spätnou kompatibilitou motívu keď ""Predvolená"" možnosť je nastavená."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
