"Page not found.","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","ನಿಮ್ಮ ಪ್ರಶ್ನೆಗಳು ಮತ್ತು ಅಭಿಪ್ರಾಯಗಳೊಡನೆ ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. ನಾವು ಅತಿ ಶೀಘ್ರದಲ್ಲಿ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತೇವೆ."
"An error occurred while processing your form. Please try again later.","ನಿಮ್ಮ ಪತ್ರವನ್ನು ಸಂಸ್ಕರಿಸುವಲ್ಲಿ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Write Us","ನಮಗೆ ಬರೆಯಿರಿ"
"Jot us a note and we’ll get back to you as quickly as possible.","ಸೂಚನೆಗಳನ್ನು ಗೀಚಿ ಮತ್ತು ನಾವು ಸಾಧ್ಯವಾದಷ್ಟು ಶೀಘ್ರವಾಗಿ ನಿಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸುತ್ತೇವೆ."
"Name","ಹೆಸರು"
"Email","ಮಿಂಚೆ"
"Phone Number","ದೂರವಾಣಿ ಸಂಖ್ಯೆ"
"What’s on your mind?","ನಿಮ್ಮ ಮನದಲ್ಲೇನಿದೆ?"
"Submit","ಸಲ್ಲಿಸಿ"
"Contact Form","Contact Form"
"Phone","ದೂರವಾಣಿ"
"Message","ಸಂದೇಶ"
"Contacts Section","ಸಂಪರ್ಕಗಳ ವಿಭಾಗ"
"Contacts","ಸಂಪರ್ಕಗಳು"
"Contact Us","ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಿ"
"Enable Contact Us","ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಿ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Email Options","ಮಿಂಚೆ ಆಯ್ಕೆಗಳು"
"Send Emails To","ಮಿಂಚೆಗಳನ್ನು ಇಲ್ಲಿಗೆ ಕಳುಹಿಸಿ"
"Email Sender","ಮಿಂಚೆ ರವಾನೆದಾರ"
"Email Template","ಮಿಂಚೆಯ ಮಾದರಿ"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","ಹೆಸರನ್ನು ನಮೂದಿಸಿ ಮತ್ತು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"Enter the comment and try again.","ಅಭಿಪ್ರಾಯವನ್ನು ನಮೂದಿಸಿ ಮತ್ತು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"The email address is invalid. Verify the email address and try again.","ಮಿಂಚೆ ವಿಳಾಸ ಅಸಿಂಧುವಾಗಿದೆ. ವಿಳಾಸ ಪರಿಶೀಲಿಸಿ ಮತ್ತು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
