"Page not found.","Stranica nije pronađena."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Hvala što ste nas kontaktirali ostavljajući komentar ili pitanje, Uskoro ćemo Vam odgovoriti."
"An error occurred while processing your form. Please try again later.","Došlo je do greške prilikom procesiranja forme. Molimo pokušajte ponovo kasnije."
"Enter the Name and try again.","Unesite Ime i pokušajte ponovo."
"Enter the comment and try again.","Upišite komentar i pokušajte ponovo."
"The email address is invalid. Verify the email address and try again.","Mejl adresa je neispravna. Proverite mejl adresu i pokušajte ponovo."
"* Required Fields","* Obavezna polja"
"Write Us","Pišite Nam"
"Jot us a note and we’ll get back to you as quickly as possible.","Ostavite nam poruku i javićemo vam se što je pre moguće."
"Name","Ime"
"Email","E-pošta"
"Phone Number","Broj telefona"
"What’s on your mind?","Šta Vam je na umu?"
"Submit","Pošalji"
"Contact Form","Kontakt forma"
"Phone","Telefon"
"Message","Poruka"
"Contacts Section","Deo sa kontaktima"
"Contacts","Kontakti"
"Contact Us","Kontaktirajte nas"
"Enable Contact Us","Omogućeno je da nas kontaktirate"
"Email Options","Email Opcije"
"Send Emails To","Pošalji Email na"
"Email Sender","Pošiljalac Mejla"
"Email Template","Šablon Mejla"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šalon e-pošte je izabran na osnovu teme kada je izabrana opcija „Zadata vrednost”."
