"Page not found.","ไม่พบหน้านี้"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Thanks for contacting us with your comments and questions. We'll respond to you very soon."
"An error occurred while processing your form. Please try again later.","เกิดข้อผิดพลาดขณะดำเนินการ กรุณาลองใหม่อีกครั้งในภายหลัง"
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"Write Us","เขียนข้อความ"
"Jot us a note and we’ll get back to you as quickly as possible.","ส่งโน้ตถึงเรา เราจะตอบกลับโดยเร็วที่สุด"
"Name","ชื่อ"
"Email","อีเมล"
"Phone Number","เบอร์โทรศัพท์"
"What’s on your mind?","คุณคิดอะไรอยู่?"
"Submit","ส่ง"
"Contact Form","แบบฟอร์มการติดต่อ"
"Phone","Phone"
"Message","Message"
"Contacts Section","ส่วนการติดต่อ"
"Contacts","การติดต่อ"
"Contact Us","ติดต่อเรา"
"Enable Contact Us","เปิดใช้งาน การติดต่อเรา"
"Email Options","อีเมล ตัวเลือก"
"Send Emails To","ส่งอีเมลถึง"
"Email Sender","ผู้ส่งอีเมล"
"Email Template","เทมเพลตอีเมล"
"Email template chosen based on theme fallback when ""Default"" option is selected.","อีเมลเทมเพลทจะเลือกตาม ค่าตั้งต้นที่ถูกเลือก"
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
