"Page not found.","Không tìm thấy trang."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Cảm ơn bạn đã liên hệ với chúng tôi với các ý kiến và câu hỏi của bạn. Chúng tôi sẽ sớm trả lời bạn."
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Bắt buộc"
"Write Us","Viết cho chúng tôi"
"Jot us a note and we’ll get back to you as quickly as possible.","Gửi một lưu ý cho chúng tôi và chúng tôi sẽ trả lời bạn nhanh nhất có thể."
"Name","Tên"
"Email","Email"
"Phone Number","Số Điện thoại"
"What’s on your mind?","Bạn đang nghĩ gì?"
"Submit","Gửi"
"Contact Form","Mẫu liên hệ"
"Phone","Phone"
"Message","Message"
"Contacts Section","Phần liên hệ"
"Contacts","Liên hệ"
"Contact Us","Liên hệ với chúng tôi"
"Enable Contact Us","Cho phép liên hệ với chúng tôi"
"Email Options","Tùy chọn email"
"Send Emails To","Gửi email đến"
"Email Sender","Người gửi Email"
"Email Template","Mẫu email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Mẫu Email được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
