"Page not found.","Halaman tidak ditemukan."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Terimakasih untuk menghubungi kami dengan komentar dan pertanyaan anda. Kami akan merespon anda secepatnya."
"An error occurred while processing your form. Please try again later.","Terjadi kesalahan saat memproses formulir anda. Harap coba lagi nanti."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Bidang yang harus Diisi"
"Write Us","Surati kami"
"Jot us a note and we’ll get back to you as quickly as possible.","Tuliskan catatan kepada kami dan kami akan kembali kepada anda secepat mungkin."
"Name","Nama"
"Email","Email"
"Phone Number","Nomor telepon"
"What’s on your mind?","Apa yang anda pikirkan?"
"Submit","Kirim"
"Contact Form","Kontak Formulir"
"Phone","Phone"
"Message","Message"
"Contacts Section","Kontak Seksi"
"Contacts","Kontak"
"Contact Us","Hubungi kami"
"Enable Contact Us","Aktifkan Hubungi kami"
"Email Options","Pilihan Email"
"Send Emails To","Kirim Email ke"
"Email Sender","Pengirim Email"
"Email Template","Template Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template yang dipilih berdasarkan tema mundur ketika ""Default"" opsi yang dipilih."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
