"Page not found.","Страница није пронађена."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Хвала што сте нас контактирали остављајући коментар или питање, Ускоро ћемо Вам одговорити."
"An error occurred while processing your form. Please try again later.","Дошло је до грешке приликом процесирања форме. Молимо покушајте поново касније."
"Name is missing","Назив недостаје"
"Comment is missing","Коментар недостаје"
"Invalid email address","Неисправна емаил адреса"
"* Required Fields","* Обавезна поља"
"Write Us","Пишите Нам"
"Jot us a note and we’ll get back to you as quickly as possible.","Оставите нам поруку и јавићемо вам се што је пре могуће."
"Name","Име"
"Email","Е-пошта"
"Phone Number","Број телефона"
"What’s on your mind?","Шта Вам је на уму?"
"Submit","Пошаљи"
"Contact Form","Контакт форма"
"Phone","Телефон"
"Message","Порука"
"Contacts Section","Део са контактима"
"Contacts","Контакти"
"Contact Us","Контактирајте нас"
"Enable Contact Us","Омогућено је да нас контактирате"
"Email Options","Емаил Опције"
"Send Emails To","Пошаљи Емаил на"
"Email Sender","Пошиљалац Мејла"
"Email Template","Емаил шаблон"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон мејла се бира на основу теме када је изабрана опција ""Подразумевано""."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Назив: %наме"
"Email: %email","Е-пошта: %емаил"
"Phone Number: %telephone","Телефон Нумбер: %телепхоне"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Унесите Име и покушајте поново."
"Enter the comment and try again.","Упишите коментар и покушајте поново."
"The email address is invalid. Verify the email address and try again.","Мејл адреса је неисправна. Проверите мејл адресу и покушајте поново."
