"Back","Vissza"
"Done","Kész"
"Retry","Újra"
"'Action Details - #' .","""Művelet részletek - #""."
"%1 item(s) have been scheduled for update.""","%1 elem frissítése beütemezve."""
"Bulk Actions Log","Tömeges műveletek naplója"
"Bulk uuid %bulkUuid not exist","Tömeges %bulkUuid uuid nem létezik"
"Topic %1","%1 Téma"
"Something went wrong while processing the request.","Hiba a kérelem feldolgozása közben."
"Error processing %key element of input data","Hiba a bevitt adat %key részének feldolgozásakor"
"Sorry, something went wrong during product prices update. Please see log for details.","Elnézést, hiba történt a termék árak frissítésekor. Kérjük, nézze meg a naplót a részletekért."
"%1 item(s) are currently being updated.","%1 elem frissítése megkezdődött."
"Task ""%1"": ","Feladat ""%1"": "
"%1 item(s) have been scheduled for update.","%1 elem frissítése beütemezve."
"%1 item(s) have been successfully updated.","%1 elem sikeresen frissült."
"%1 item(s) failed to update","nem sikerült frissíteni a %1 elemet"
"Details","Részletek"
"View Details","Részletek megjelenítése"
"Dismiss","Elutasítás"
"Pending, in queue...","Függőben lévő, sorban..."
"%1 items selected for mass update","%1 cikk tömeges frissítésre kiválasztva"
", %1 successfully updated",", %1 sikeresen frissítve"
", %1 failed to update",", %1 sikertelen frissítés"
"Something went wrong.","Valami elromlott."
"Action Log","Műveleti napló"
"Report","Jelentés"
"Bulk Actions","Tömeges műveletek"
"Action Logs","Műveleti naplók"
"Days Saved in Log","Naplóban tárolt napok"
"Description of Operation","A művelet leírása"
"Summary","Összefoglaló"
"Start Time","Kezdés ideje"
"Items to Retry","Elemek újra"
"To retry, select the items and click “Retry”.","Újrapróbálásához jelölje ki az elemeket, és kattintson az ""Újra"" gombra."
"Items That Can’t Be Updated.","Elemek, amelyek nem frissíthetők."
"ID","Azonosító"
"Status","Állapot"
"Meta Information","Meta-információk"
"Error","Hiba"
"Dismiss All Completed Tasks","Minden befejezett feladat elutasítása"
"Action Details - #","Művelet részletek - #"
"Number of Records Affected","Módosított sorok száma"
