"Back","上一步"
"Done","完成"
"Retry","重試"
"'Action Details - #' .","'Action Details - #' ."
"%1 item(s) have been scheduled for update.""","%1 項目已經安排更新。"""
"Bulk Actions Log","批量操作記錄"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1項目正在更新。"
"Task ""%1"": ","Task ""%1"": "
"%1 item(s) have been scheduled for update.","%1 項目已經安排更新。"
"%1 item(s) have been successfully updated.","%1 項目已成功更新。"
"%1 item(s) failed to update","%1 項目更新失敗"
"Details","詳細資料"
"View Details","檢視詳細資料"
"Dismiss","忽略"
"Pending, in queue...","Pending, in queue..."
"%1 items selected for mass update","大規模更新%1 項目"
", %1 successfully updated","%1 已成功更新"
", %1 failed to update","%1 更新失敗"
"Something went wrong.","發生錯誤"
"Action Log","操作記錄"
"Report","Report"
"Bulk Actions","批量操作"
"Action Logs","Action Logs"
"Days Saved in Log","Days Saved in Log"
"Description of Operation","操作說明"
"Summary","概要"
"Start Time","開始時間"
"Items to Retry","重試項目"
"To retry, select the items and click “Retry”.","要重試，請選中該項目，按一下""重試""。"
"Items That Can’t Be Updated.","不能更新的項目。"
"ID","編號"
"Status","狀態"
"Meta Information","元資訊"
"Error","錯誤 "
"Dismiss All Completed Tasks","關閉所有已完成的任務"
"Action Details - #","操作詳細資訊-#"
"Number of Records Affected","受影響的記錄數目"
