"Back","Tilbake"
"Done","Utført"
"Retry","Prøv på nytt"
"'Action Details - #' .","'Handlingsdetaljer - #'."
"%1 item(s) have been scheduled for update.""","%1 vare(r) er nå planlagt for oppdatering."""
"Bulk Actions Log","Logg for massebehandling"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid eksisterer ikke"
"Topic %1","Emne %1"
"Something went wrong while processing the request.","Noe gikk galt under arbeidet med denne forespørselen."
"Error processing %key element of input data","Feil under behandling av % nøkkelelement fra inndata"
"Sorry, something went wrong during product prices update. Please see log for details.","Beklager, noe gikk galt under oppdatering av produktpriser. Vennligst se loggen for detaljer."
"%1 item(s) are currently being updated.","%1 vare(r) er under oppdatering."
"Task ""%1"": ","Oppgave ""%1"": "
"%1 item(s) have been scheduled for update.","%1 vare(r) er nå planlagt for oppdatering."
"%1 item(s) have been successfully updated.","%1 vare(r) ble vellykket oppdatert."
"%1 item(s) failed to update","%1 element(er) kunne ikke oppdateres"
"Details","Detaljer"
"View Details","Vis detaljer"
"Dismiss","Avbryt"
"Pending, in queue...","Venter, i kø..."
"%1 items selected for mass update","%1 elementer valgt for masse oppdatering"
", %1 successfully updated",", %1 vellykket oppdatert"
", %1 failed to update",", %1 kunne ikke oppdatere"
"Something went wrong.","Noe gikk galt."
"Action Log","Handlingslogg"
"Report","Rapport"
"Bulk Actions","Massehandlinger"
"Action Logs","Handlingslogg"
"Days Saved in Log","Dager lagret i loggen"
"Description of Operation","Beskrivelse av operasjonen"
"Summary","Sammendrag"
"Start Time","Starttid"
"Items to Retry","Elementer til gjenforsøk"
"To retry, select the items and click “Retry”.","For å prøve pånytt, velg elementene og klikk på ""Prøv på nytt""."
"Items That Can’t Be Updated.","Elementer som ikke kan oppdateres."
"ID","Id"
"Status","Status"
"Meta Information","Meta-informasjon"
"Error","Feil"
"Dismiss All Completed Tasks","Forkaste alle fullførte oppgaver"
"Action Details - #","Handlings-detaljer -#"
"Number of Records Affected","Antall poster som påvirkes"
