"Back","Nazad"
"Done","Gotovo"
"Retry","Pokušaj ponovo"
"'Action Details - #' .","'Pogledaj detalje - #' ."
"%1 item(s) have been scheduled for update.""","%1 stavka(e) su planirane za ažuriranje”"
"Bulk Actions Log","Evidencija masovnih radnji"
"Bulk uuid %bulkUuid not exist","Grupni uuid %bulkUuid ne postoji"
"Topic %1","Tema %1"
"Something went wrong while processing the request.","Došlo je do greške prilikom obrade zahteva."
"Error processing %key element of input data","Greška u obradi elementa %key u ulaznim podacima"
"Sorry, something went wrong during product prices update. Please see log for details.","Došlo je do greške prilikom ažuriranja cena proizvoda. Molimo pogledajte log za detalje."
"%1 item(s) are currently being updated.","%1 stavka(i) se trenutno ažurira."
"Task ""%1"": ","Zadatak „%1”: "
"%1 item(s) have been scheduled for update.","%1 stavka(e) su planirane za ažuriranje”."
"%1 item(s) have been successfully updated.","%1 stavka(e) su planirane za ažuriranje”."
"%1 item(s) failed to update","%1 stavka(i) se nije uspelo ažurirati"
"Details","Detalji"
"View Details","Pogledaj detalje"
"Dismiss","Odbaci"
"Pending, in queue...","Neobrađeno, u redu čekanja..."
"%1 items selected for mass update","%1 stavki je odabrano za masovno ažuriranje"
", %1 successfully updated",", %1 je uspešno ažurirano"
", %1 failed to update",", %1 se nije uspelo ažurirati"
"Something went wrong.","Nešto krenulo naopako."
"Action Log","Dnevnik radnji"
"Report","Izveštaj"
"Bulk Actions","Masovne radnje"
"Action Logs","Dnevnik radnji"
"Days Saved in Log","Dani sačuvani u dnevniku"
"Description of Operation","Opis operacije"
"Summary","Rezime"
"Start Time","Vreme početka"
"Items to Retry","Stavke za ponovni pokušaj"
"To retry, select the items and click “Retry”.","Da biste ponovo pokušali, izaberite stavke i kliknite na dugme „Pokušaj ponovo”."
"Items That Can’t Be Updated.","Stavke koje nije moguće ažurirati."
"ID","ID"
"Status","Status"
"Meta Information","Meta informacije"
"Error","Greška"
"Dismiss All Completed Tasks","Odbaci sve dovršene zadatke"
"Action Details - #","Detalji radnje- #"
"Number of Records Affected","Broj zapisa koji je uticao na"
