"Back","Takaisin"
"Done","Valmis"
"Retry","Yritä uudelleen"
"'Action Details - #' .","'Toiminnon tiedot - #'."
"%1 item(s) have been scheduled for update.""","%1 tuoteille on ajoitettu päivitys ”"
"Bulk Actions Log","Massatapahtumaloki"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 tuotetta päivitetään parhaillaan."
"Task ""%1"": ","Tehtävä ""%1"": "
"%1 item(s) have been scheduled for update.","%1 tuotetta on ajoitettu päivitys."
"%1 item(s) have been successfully updated.","%1 tuotetta on päivitetty."
"%1 item(s) failed to update","%1 tuotetta ei voitu päivittää"
"Details","Yksityiskohdat"
"View Details","Näytä yksityiskohdat"
"Dismiss","Ohita"
"Pending, in queue...","Vireillä, jonossa..."
"%1 items selected for mass update","valitut joukkopäivityksen %1 osat"
", %1 successfully updated",", %1 päivitetty"
", %1 failed to update",", %1 päivitys epäonnistui"
"Something went wrong.","Jokin meni vikaan."
"Action Log","Toimintaloki"
"Report","Report"
"Bulk Actions","Massatoimintoja"
"Action Logs","Tapahtumalokit"
"Days Saved in Log","Päivää lokissa"
"Description of Operation","Toimenpiteen kuvaus"
"Summary","Yhteenveto"
"Start Time","Aloitusaika"
"Items to Retry","Yritä kohteita uudelleen"
"To retry, select the items and click “Retry”.","Yrittääksesi uudelleen, valitse tavarat ja valitse ""Yritä uudelleen""."
"Items That Can’t Be Updated.","Kohteet, joita ei voi päivittää."
"ID","Tunnus"
"Status","Tila"
"Meta Information","Meta-tiedot"
"Error","Virhe"
"Dismiss All Completed Tasks","Ohita kaikki suoritetut tehtävät"
"Action Details - #","Toiminnon tiedot - #"
"Number of Records Affected","Vaikuttavien tietojen määrä"
