"Back","חזור"
"Done","בוצע"
"Retry","נסה שנית"
"'Action Details - #' .","'פרטי פעולה - #'."
"%1 item(s) have been scheduled for update.""","%1 פריטים תוזמנו עבור עדכון."""
"Bulk Actions Log","לוג פעולות מרובות"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 פריט(ים) מתעדכנ(ים) כעת."
"Task ""%1"": ","משימה ""%1"": "
"%1 item(s) have been scheduled for update.","%1 פריטים תוזמנו עבור עדכון."
"%1 item(s) have been successfully updated.","%1 פריטים עודכנו בהצלחה."
"%1 item(s) failed to update","%1 פריטים לא עודכנו"
"Details","פרטים"
"View Details","הצגת פרטים"
"Dismiss","לדחות"
"Pending, in queue...","ממתין, בתור..."
"%1 items selected for mass update","%1 פריטים נבחרו לעדכון המוני"
", %1 successfully updated",", %1 עודכן בהצלחה"
", %1 failed to update",", %1 עדכונים נכשלו"
"Something went wrong.","משהו השתבש."
"Action Log","יומן פעילות"
"Report","Report"
"Bulk Actions","פעולות גורפות"
"Action Logs","Action Logs"
"Days Saved in Log","ימים שנשמרו ביומן"
"Description of Operation","תיאור הפעולה"
"Summary","נושא"
"Start Time","שעת התחלה"
"Items to Retry","פריטים לנסיון החוזר"
"To retry, select the items and click “Retry”.","כדי לנסות שנית, בחר פריטים ולחץ על ""נסה שנית""."
"Items That Can’t Be Updated.","פריטים שלא ניתן לעדכן."
"ID","מזהה"
"Status","סטטוס"
"Meta Information","מידע"
"Error","שגיאה"
"Dismiss All Completed Tasks","העלם את כל המשימות שהושלמו"
"Action Details - #","פרטי פעולה - #"
"Number of Records Affected","מספר רשומות שהושפעו"
