"Back","Tillbaka"
"Done","Klart"
"Retry","Försök igen"
"'Action Details - #' .","'Detaljer för åtgärd - #'."
"%1 item(s) have been scheduled for update.""","%1 objekt har schemalagts för uppdatering."""
"Bulk Actions Log","Log för bulk actions"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 objekt uppdateras för närvarande."
"Task ""%1"": ","Uppgift ""%1"": "
"%1 item(s) have been scheduled for update.","%1 objekt har schemalagts för uppdatering."
"%1 item(s) have been successfully updated.","Alla objekt är nu uppdaterade."
"%1 item(s) failed to update","%1 objekt gick inte att uppdatera"
"Details","Detaljer"
"View Details","Visa detaljer"
"Dismiss","Avfärda"
"Pending, in queue...","Väntande, i kö..."
"%1 items selected for mass update","%1 objekt som valts för massuppdatering"
", %1 successfully updated","%1 uppdaterades"
", %1 failed to update",", %1 gick inte att uppdatera"
"Something went wrong.","Något gick fel."
"Action Log","Åtgärdslogg"
"Report","Rapport"
"Bulk Actions","Massåtgärder"
"Action Logs","Action Logs"
"Days Saved in Log","Dagar som sparas i loggen"
"Description of Operation","Beskrivning av åtgärden"
"Summary","Översikt"
"Start Time","Starttid"
"Items to Retry","Objekt till försök igen"
"To retry, select the items and click “Retry”.","Om du vill försöka igen, Välj objekt och klicka på ”försök igen”."
"Items That Can’t Be Updated.","Objekt som inte kan uppdateras."
"ID","ID"
"Status","Status"
"Meta Information","Metainformation"
"Error","Fel"
"Dismiss All Completed Tasks","Avfärda alla slutförda uppgifter"
"Action Details - #","Detaljer för åtgärd - #"
"Number of Records Affected","Antal poster som påverkats"
