"Back","Volver"
"Done","Hecho"
"Retry","Reintentar"
"'Action Details - #' .","'Detalles de la acción - #'."
"%1 item(s) have been scheduled for update.""","%1 elemento(s) se han programado para la actualización."""
"Bulk Actions Log","Registro de acciones masivas"
"%1 item(s) are currently being updated.","%1 elemento(s) esta siendo actualizado."
"Task ""%1"": ","Tarea ""%1"": "
"%1 item(s) have been scheduled for update.","%1 de elemento(s) han sido programados para actualización."
"%1 item(s) have been successfully updated.","%1 elemento(s) han sido actualizados correctamente."
"%1 item(s) failed to update","%1 elemento(s) fallo al actualizarse"
"Details","Detalles"
"View Details","Ver Detalles"
"Dismiss","Descartar"
"Pending, in queue...","Pendiente, en lista de espera..."
"%1 items selected for mass update","%1 elementos seleccionados para la actualización masiva"
", %1 successfully updated",", %1 actualizado correctamente"
", %1 failed to update",", %1 fallo al actualizarse"
"Something went wrong.","Algo salió mal."
"Action Log","Registro de acciones"
"Bulk Actions","Acciones masivas"
"Days Saved in Log","Días guardados en registro"
"Description of Operation","Descripción de la operación"
"Summary","Resumen"
"Start Time","Tiempo de inicio"
"Items to Retry","Elementos a reintentar"
"To retry, select the items and click “Retry”.","Para volver a intentar, seleccione los elementos y haga clic en ""Reintentar""."
"Items That Can’t Be Updated.","Elementos que no se pueden actualizar."
"ID","Número de Identificación (ID)"
"Status","Estado"
"Meta Information","Meta Información"
"Error","Error"
"Dismiss All Completed Tasks","Descartar Todas las Tareas Completadas"
"Action Details - #","Detalles de la acción - #"
"Number of Records Affected","Número de registros afectados"
