"Back","Späť"
"Done","Hotovo"
"Retry","Skúsiť znova"
"'Action Details - #' .","'Podrobnosti úkonu - #' ."
"%1 item(s) have been scheduled for update.""","%1 položky boli naplánované na aktualizáciu."""
"Bulk Actions Log","Denník hromadných úkonov"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 položiek sa aktualizuje."
"Task ""%1"": ","Úloha ""%1"": "
"%1 item(s) have been scheduled for update.","%1 položiek bolo naplánovaných na aktualizáciu."
"%1 item(s) have been successfully updated.","%1 položiek úspešne aktualizovaných."
"%1 item(s) failed to update","%1 položiek sa nepodarilo aktualizovať"
"Details","Podrobnosti"
"View Details","Zobraziť podrobnosti"
"Dismiss","Zamietnuť"
"Pending, in queue...","Čakajúce, vo fronte..."
"%1 items selected for mass update","%1 položiek na hromadnú aktualizáciu"
", %1 successfully updated",", %1 úspešne aktualizované"
", %1 failed to update",", %1 sa nepodarilo aktualizovať"
"Something went wrong.","Niečo sa pokazilo."
"Action Log","Denník činností"
"Report","Report"
"Bulk Actions","Hromadné akcie"
"Action Logs","Action Logs"
"Days Saved in Log","Dní uložené v denníku"
"Description of Operation","Popis operácie"
"Summary","Zhrnutie"
"Start Time","Čas začiatku"
"Items to Retry","Položky na opakovanie"
"To retry, select the items and click “Retry”.","Pre opakovanie vyberte položky a kliknite na ""Skúsiť znova""."
"Items That Can’t Be Updated.","Položky, ktoré sa nedajú aktualizovať."
"ID","ID"
"Status","Stav"
"Meta Information","Meta informácia"
"Error","Chyba"
"Dismiss All Completed Tasks","Vyradiť všetky dokončené úlohy"
"Action Details - #","Podrobnosti akcie - #"
"Number of Records Affected","Počet ovplyvnených záznamov"
