"Back","Назад"
"Done","Готово"
"Retry","Повторити"
"'Action Details - #' .","'Параметри деталей - #' ."
"%1 item(s) have been scheduled for update.""","%1 елемент (и) були заплановані оновлення."""
"Bulk Actions Log","Масові дії журналу"
"Bulk uuid %bulkUuid not exist","Сумарний uuid %bulkUuid не існує"
"Topic %1","Тема %1"
"Something went wrong while processing the request.","Щось пішло не так під час обробки запиту."
"Error processing %key element of input data","Помилка обробки %key елементу вхідних даних"
"Sorry, something went wrong during product prices update. Please see log for details.","На жаль, щось пішло не так під час оновлення ціни продукту. Будь ласка, перегляньте журнал для деталей."
"%1 item(s) are currently being updated.","%1 елемент(и) в даний час оновлюється."
"Task ""%1"": ","Завдання ""%1"": "
"%1 item(s) have been scheduled for update.","%1 елемент (и) були заплановані оновлення."
"%1 item(s) have been successfully updated.","%1 елемент(и) були успішно оновлено."
"%1 item(s) failed to update","не вдалося оновити %1 елемент(ів)"
"Details","Подробиці"
"View Details","Переглянути подробиці"
"Dismiss","Відмінити"
"Pending, in queue...","Очікування, у черзі..."
"%1 items selected for mass update","%1 елементів вибрано для масового оновлення"
", %1 successfully updated",", %1 успішно оновлено"
", %1 failed to update",", %1 не вдалося оновити"
"Something went wrong.","Щось пішло не так."
"Action Log","Журнал дій"
"Report","Звіт"
"Bulk Actions","Масові дії"
"Action Logs","Журнали дій"
"Days Saved in Log","Дні, записані в журнал"
"Description of Operation","Опис операції"
"Summary","Підсумок"
"Start Time","Час початку"
"Items to Retry","Елементи для повтору"
"To retry, select the items and click “Retry”.","Щоб повторити, виберіть елементи та натисніть кнопку «Повторити»."
"Items That Can’t Be Updated.","Елементи, які не можна оновити."
"ID","Ідентифікатор"
"Status","Статус"
"Meta Information","Meta інформація"
"Error","Помилка"
"Dismiss All Completed Tasks","Звільнити всі завершені завдання"
"Action Details - #","Деталі дії - #"
"Number of Records Affected","Кількість змінених записів"
