"Back","Kembali"
"Done","Selesai"
"Retry","Coba Lagi"
"'Action Details - #' .","'Detil Aksi - #' ."
"%1 item(s) have been scheduled for update.""","%1 item(s) telah dijadwalkan untuk diperbarui. """
"Bulk Actions Log","Bulk Kunci Aksi"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 item(s) sedang diperbarui."
"Task ""%1"": ","Tugas ""%1"": "
"%1 item(s) have been scheduled for update.","%1(s) item telah dijadwalkan untuk diperbarui."
"%1 item(s) have been successfully updated.","%1 item(s) Sukses Diperbarui."
"%1 item(s) failed to update","%1 item(s) Gagal Diperbarui"
"Details","Rincian"
"View Details","Lihat Detil"
"Dismiss","Memberhentikan"
"Pending, in queue...","Menunggu Keputusan, Dalam Antrian..."
"%1 items selected for mass update","%1Item Dipilih Untuk Pembaruan Massal"
", %1 successfully updated","%1Pembaruan Sukses"
", %1 failed to update","%1 Gagal Untuk Perbarui"
"Something went wrong.","Ada yang salah."
"Action Log","Tindakan Log"
"Report","Report"
"Bulk Actions","Bulk Aksi"
"Action Logs","Action Logs"
"Days Saved in Log","Hari Tersimpan Di Log"
"Description of Operation","Deskripsi Operasi"
"Summary","Ringkasan"
"Start Time","Waktu mulai"
"Items to Retry","Item Untuk Dicoba Lagi"
"To retry, select the items and click “Retry”.","Untuk Ulang, Pilih Item Dan Klik ""Ulang""."
"Items That Can’t Be Updated.","Item itu Tidak Bisa Diperbarui."
"ID","Nomor"
"Status","Keadaan"
"Meta Information","Meta Informasi"
"Error","Kesalahan"
"Dismiss All Completed Tasks","Matikan Semua Tugas Selesai"
"Action Details - #","Detil Aksi - #"
"Number of Records Affected","Jumlah Rekaman yang Terkena"
