"Back","Atpakaļ"
"Done","Gatavs"
"Retry","Mēģināt vēlreiz"
"'Action Details - #' .","'Darbības informācija - #' ."
"%1 item(s) have been scheduled for update.""","%1 produkts(i) apstiprināti atjaunināšanai."""
"Bulk Actions Log","Vairāku darbību žurnāls"
"Bulk uuid %bulkUuid not exist","Vairāki uuid %bulkUuid neeksistē"
"Topic %1","Temats %1"
"Something went wrong while processing the request.","Kļūda apstrādājot pieprasījumu."
"Error processing %key element of input data","Kļūda apstrādājot ievades datu %key elementu"
"Sorry, something went wrong during product prices update. Please see log for details.","Atvainojamies, kļūda atjaunojot preču cenas. Skatiet žurnālu lai iegūtu vairāk informācijas."
"%1 item(s) are currently being updated.","Pašlaik tiek atjaunināta(s) %1 prece (s)."
"Task ""%1"": ","Uzdevums ""%1"": "
"%1 item(s) have been scheduled for update.","%1 produkts(i) apstiprināti atjaunināšanai."
"%1 item(s) have been successfully updated.","%1 produkts(i) neizdevās atjaunināt."
"%1 item(s) failed to update","%1 produkts(i) netika atjaunināts(i)"
"Details","Papildus informācija"
"View Details","Skatīt detaļas"
"Dismiss","Atcelt"
"Pending, in queue...","Gaida rindā..."
"%1 items selected for mass update","%1 produkti atlasīti masveida atjaunināšana"
", %1 successfully updated",", %1 veiksmīgi atjaunināts"
", %1 failed to update",", %1 neizdevās atjaunināt"
"Something went wrong.","Kaut kas nogāja greizi."
"Action Log","Darbību žurnāls"
"Report","Pārskats"
"Bulk Actions","Vairākas darbības"
"Action Logs","Darbību žurnāli"
"Days Saved in Log","Žurnālā saglabātās dienas"
"Description of Operation","Darbības apraksts"
"Summary","Kopsavilkums"
"Start Time","Sākuma laiks"
"Items to Retry","Produktus kurus mēģināt vēlreiz"
"To retry, select the items and click “Retry”.","Lai mēģinātu vēlreiz, izvēlieties produktus un nospiediet ""Mēģināt vēlreiz""."
"Items That Can’t Be Updated.","Produkti kurus nevar atjaunot."
"ID","ID"
"Status","Statuss"
"Meta Information","Meta informācija"
"Error","Kļūda"
"Dismiss All Completed Tasks","Atcelt Visus Pabeigtos Uzdevumus"
"Action Details - #","Darbības informācija - #"
"Number of Records Affected","Apstrādāto ierakstu skaits"
