"Back","Zurück"
"Done","Fertig"
"Retry","Erneut versuchen"
"'Action Details - #' .","'Aktionsdetails - #'."
"%1 item(s) have been scheduled for update.""","%1 Artikel sind für Aktualisierung eingeplant."""
"Bulk Actions Log","Massenverarbeitungsprotokoll"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid existiert nicht"
"Topic %1","Thema %1"
"Something went wrong while processing the request.","Beim Verarbeiten der Abfrage ist ein Fehler aufgetreten."
"Error processing %key element of input data","Fehler beim Verarbeiten des Elements %key der Eingabedaten"
"Sorry, something went wrong during product prices update. Please see log for details.","Leider ist während der Aktualisierung der Produktpreise ein Fehler aufgetreten. Für Details schauen Sie bitte in das Protokoll."
"%1 item(s) are currently being updated.","%1 Artikel werden derzeit aktualisiert."
"Task ""%1"": ","Aufgabe ""%1"": "
"%1 item(s) have been scheduled for update.","%1 Artikel sind für Aktualisierung eingeplant."
"%1 item(s) have been successfully updated.","%1 Artikel wurden erfolgreich aktualisiert."
"%1 item(s) failed to update","%1 Artikel konnten nicht aktualisiert werden"
"Details","Details"
"View Details","Details anzeigen"
"Dismiss","Verwerfen"
"Pending, in queue...","Ausstehend, in Warteschlange..."
"%1 items selected for mass update","%1 Artikel für Massenaktualisierung ausgewählt"
", %1 successfully updated",", %1 erfolgreich aktualisiert"
", %1 failed to update",", %1 konnten nicht aktualisiert werden"
"Something went wrong.","Es ist ein Fehler aufgetreten."
"Action Log","Aktionsprotokoll"
"Report","Bericht"
"Bulk Actions","Massenverarbeitung"
"Action Logs","Aktionsprotokolle"
"Days Saved in Log","Anzahl Tage, die im Protokoll gespeichert werden"
"Description of Operation","Beschreibung der Operation"
"Summary","Zusammenfassung"
"Start Time","Startzeit"
"Items to Retry","Einträge für Neuversuch"
"To retry, select the items and click “Retry”.","Um es erneut zu versuchen, wählen Sie die Elemente aus und klicken Sie auf ""Erneut versuchen""."
"Items That Can’t Be Updated.","Elemente, die nicht aktualisiert werden können."
"ID","Id"
"Status","Status"
"Meta Information","Meta-Information"
"Error","Fehler"
"Dismiss All Completed Tasks","Alle erledigten Aufgaben schließen"
"Action Details - #","Aktionsdetails - #"
"Number of Records Affected","Anzahl der betroffenen Datensätze"
