"Back","Назад"
"Done","Готово"
"Retry","Опитай отново"
"'Action Details - #' .","""Данни за действие - #""."
"%1 item(s) have been scheduled for update.""","%1 елемент(и) са планирани за обновяване."""
"Bulk Actions Log","Регистър на Пакетни действия"
"Bulk uuid %bulkUuid not exist","Не съществува идентификатор %bulkUuid"
"Topic %1","Тема %1"
"Something went wrong while processing the request.","Нещо се обърка докато обработвахме заявката."
"Error processing %key element of input data","Грешка при обработката на %key елемент от входящите данни"
"Sorry, something went wrong during product prices update. Please see log for details.","За съжаление нещо се обърка по време на актуализация на цени на продукти. Моля, вижте лог файла за подробности."
"%1 item(s) are currently being updated.","%1 елемент(и) се актуализират в момента."
"Task ""%1"": ","Задача ""%1"": "
"%1 item(s) have been scheduled for update.","%1 елемент(и) са планирани за обновяване."
"%1 item(s) have been successfully updated.","%1 елемент(и) са актуализирани успешно."
"%1 item(s) failed to update","%1 елемент(и) не успяха да се актуализират"
"Details","Детайли"
"View Details","Виж детайли"
"Dismiss","Отхвърляне"
"Pending, in queue...","В очакване, на опашката..."
"%1 items selected for mass update","%1 елементи избрани за масова актуализация"
", %1 successfully updated",", %1 успешно актуализирано"
", %1 failed to update",", %1 не успя да се актуализира"
"Something went wrong.","Възникна грешка."
"Action Log","Регистър на действията"
"Report","Доклад"
"Bulk Actions","Пакетни действия"
"Action Logs","Регистър на действията"
"Days Saved in Log","Дни, записани в регистрационния файл"
"Description of Operation","Описание на операцията"
"Summary","Обобщение"
"Start Time","Начален час"
"Items to Retry","Елементи за повторен опит"
"To retry, select the items and click “Retry”.","За повторен опит, изберете елементите и щракнете върху ""Опитай отново""."
"Items That Can’t Be Updated.","Елементи, които не могат да бъдат актуализирани."
"ID","Идентификатор"
"Status","Статус"
"Meta Information","Мета информация"
"Error","Грешка"
"Dismiss All Completed Tasks","Отхвърли всички завършени задачи"
"Action Details - #","Детайли за действието - #"
"Number of Records Affected","Брой на засегнатите записи"
