"Back","بازگشت"
"Done","انجام شد"
"Retry","تلاش مجدد"
"'Action Details - #' .","'جزئیات فعالیت- #' ."
"%1 item(s) have been scheduled for update.""","%1 مورد برای به روز رسانی برنامه ریزی شده است. """
"Bulk Actions Log","اقدام دسته جمعی"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","%1 مورد در حال به روز رسانی است."
"Task ""%1"": ","وظیفه%1: "
"%1 item(s) have been scheduled for update.","%1 مورد برای به روز رسانی برنامه ریزی شده است."
"%1 item(s) have been successfully updated.","%1 مورد با موفقیت به روز رسانی شد."
"%1 item(s) failed to update","%1مورد برای به روز رسانی با مشکل مواجه شد"
"Details","جزئیات"
"View Details","مشاهده جزئیات"
"Dismiss","نادیده گرفتن"
"Pending, in queue...","در حال انتظار، در صف..."
"%1 items selected for mass update","%1 مورد برای به روز رسانی کلی انتخاب شده است"
", %1 successfully updated","%1 به روز رسانی با موفقیت انجام شد"
", %1 failed to update","%1 به روز رسانی با مشکل مواجه شد"
"Something went wrong.","مشکلی پیش آمده است."
"Action Log","گزارش فعالیت"
"Report","Report"
"Bulk Actions","اقدام دسته جمعی"
"Action Logs","Action Logs"
"Days Saved in Log","روزهای ذخیره شده در این گزارش"
"Description of Operation","شرح عملیات"
"Summary","خلاصه"
"Start Time","زمان شروع"
"Items to Retry","این موارد را دوباره اعمال کنید"
"To retry, select the items and click “Retry”.","برای اعمال مجدد، موارد را انتخاب کنید و روی ""Retry"" کلیک کنید."
"Items That Can’t Be Updated.","مواردی که به روز رسانی نمی شوند."
"ID","شناسه"
"Status","وضعيت"
"Meta Information","اطلاعات Meta"
"Error","خطا"
"Dismiss All Completed Tasks","وظایف تکمیل شده را رد کنید"
"Action Details - #","جزئیات فعالیت- #"
"Number of Records Affected","تعداد رکوردهای تحت تأثیر قرار گرفته"
