"Back","戻る"
"Done","完了"
"Retry","やり直し"
"'Action Details - #' .","' アクションの詳細 - #'。"
"%1 item(s) have been scheduled for update.""","%1 件のアイテムが更新予約されました。"""
"Bulk Actions Log","一括操作ログ"
"Bulk uuid %bulkUuid not exist","バルクUUID %bulkUuid は存在しません"
"Topic %1","トピック %1"
"Something went wrong while processing the request.","リクエストを処理中に問題が発生しました。"
"Error processing %key element of input data","入力データの %key 要素の処理中にエラーが発生しました"
"Sorry, something went wrong during product prices update. Please see log for details.","申し訳ありません、商品価格の更新中に問題が発生しました。詳細はエラーログをご覧ください。"
"%1 item(s) are currently being updated.","%1 アイテムは現在更新中です。"
"Task ""%1"": ","タスク ""%1"": "
"%1 item(s) have been scheduled for update.","%1 件のアイテムが更新予約されました。"
"%1 item(s) have been successfully updated.","%1 件のアイテムが正常に更新されました。"
"%1 item(s) failed to update","%1 件のアイテムの更新に失敗しました"
"Details","詳細"
"View Details","詳細を表示"
"Dismiss","無視"
"Pending, in queue...","保留中, 処理待ち..."
"%1 items selected for mass update","%1 件のアイテムが一括更新対象として選択済"
", %1 successfully updated",", %1 は正常に更新されました"
", %1 failed to update",", %1 の更新に失敗しました"
"Something went wrong.","問題が発生しました。"
"Action Log","アクションログ"
"Report","レポート"
"Bulk Actions","一括操作"
"Action Logs","アクションログ"
"Days Saved in Log","ログの保存日数"
"Description of Operation","操作の説明"
"Summary","レビュータイトル"
"Start Time","開始時間"
"Items to Retry","再試行対象アイテム"
"To retry, select the items and click “Retry”.","再試行するには、項目を選択して“再試行”をクリックして下さい。"
"Items That Can’t Be Updated.","アイテムは更新できません。"
"ID","ID"
"Status","ステータス"
"Meta Information","メタ情報"
"Error","エラー"
"Dismiss All Completed Tasks","すべての完了したタスクを無視"
"Action Details - #","アクションの詳細 - #"
"Number of Records Affected","影響あるレコード数"
