"You created the order.","คุณสร้างคำสั่งซื้อ"
"Order saving error: %1","ข้อผิดพลาดในการบันทึกคำสั่งซื้อ: %1"
"Please choose a payment method.","โปรดเลือกวิธีการชำระเงิน"
"We can't process your order right now. Please try again later.","เราไม่สามารถดำเนินการตามคำสั่งซื้อของคุณได้ในขณะนี้ โปรดลองอีกครั้งในภายหลัง."
"An error occurred on the server. Please try to place the order again.","เกิดข้อผิดพลาดบนเซิร์ฟเวอร์ โปรดลองสั่งซื้ออีกครั้ง"
"Credit Card: xxxx-%1","บัตรเครดิต: xxxx-%1"
"amount %1","จำนวน %1"
"failed.","ล้มเหลว."
"successful.","สำเร็จแล้ว"
"Authorize.Net Transaction ID %1.","รหัสธุรกรรม Authorize.Net %1"
"authorize","อนุญาต"
"authorize and capture","อนุญาตและข้อมูลที่ได้"
"capture","ข้อมูลที่บันทึก"
"refund","คืนเงิน"
"void","ยกเลิก"
"Gateway error: %1","ข้อผิดพลาดของเกตเวย์: %1"
"Something went wrong in the payment gateway.","Something went wrong in the payment gateway."
"Invalid amount for capture.","Invalid amount for capture."
"Payment capturing error.","Payment capturing เกิดข้อผิดพลาด"
"Invalid transaction ID.","Transaction ID ใช้ไม่ได้"
"Payment voiding error.","Payment voiding error."
"Invalid amount for refund.","Invalid amount for refund."
"Payment refunding error.","เกิดความผิดพลาดในการคืนเงิน"
"The transaction was declined because the response hash validation failed.","The transaction was declined because the response hash validation failed."
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order."
"There was a payment authorization error.","There was a payment authorization error."
"Please enter a transaction ID to authorize this payment.","Please enter a transaction ID to authorize this payment."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaction %1 has been approved. Amount %2. Transaction status is ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3."
"Authorize Only","Authorize เท่านั้น"
"Authorize and Capture","Authorize และ Capture"
"Unable to get transaction details. Try again later.","Unable to get transaction details. Try again later."
"Electronic payments save the trees.","Electronic payments save the trees."
"Credit Card Type","ประเภทบัตรเครดิต"
"Please Select","กรุณาเลือก"
"Credit Card Number","หมายเลขบัตรเครดิต"
"Expiration Date","วันหมดอายุ"
"Card Verification Number","รหัสยืนยันของบัตร"
"Fraud Detection ","Fraud Detection "
"FDS Filter Action","FDS Filter Action"
"AVS Response","AVS Response"
"Card Code Response","Card Code Response"
"CAVV Response","CAVV Response"
"Fraud Filters","Fraud Filters"
"Place Order","สั่งสินค้า"
"Sorry, but something went wrong. Please contact the seller.","Sorry, but something went wrong. Please contact the seller."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Enabled","เปิดใช้งาน"
"Payment Action","Payment Action"
"Title","Title"
"API Login ID","API Login ID"
"Transaction Key","Transaction Key"
"Merchant MD5","Merchant MD5"
"New Order Status","New Order Status"
"Test Mode","โหมดทดสอบ:"
"Gateway URL","Gateway URL"
"Transaction Details URL","Transaction Details URL"
"Accepted Currency","Accepted Currency"
"Debug","Debug"
"Email Customer","Email Customer"
"Merchant's Email","Merchant's Email"
"Credit Card Types","ประเภทบัตรเครดิต"
"Credit Card Verification","Credit Card Verification"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","การเรียงลำดับ"
"Cannot place order.","Cannot place order."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
