"You created the order.","Vytvorili ste objednávku."
"Order saving error: %1","Chyba uloženia objednávky: %1"
"Please choose a payment method.","Vyberte spôsob platby."
"We can't process your order right now. Please try again later.","Nemôžeme spracovať vašu objednávku práve teraz. Skúste znova neskôr."
"An error occurred on the server. Please try to place the order again.","Na serveri sa vyskytla chyba. Prosím, skúste znova zadať objednávku."
"Credit Card: xxxx-%1","Kreditná karta: xxxx-%1"
"amount %1","suma %1"
"failed.","zlyhalo."
"successful.","úspešné."
"Authorize.Net Transaction ID %1.","Authorize.Net transakčné ID %1."
"authorize","schváliť"
"authorize and capture","schváliť a získať"
"capture","získať"
"refund","vrátenie"
"void","anulované"
"Gateway error: %1","Chyba brány: %1"
"Something went wrong in the payment gateway.","Niečo sa pokazilo v platobnej bráne."
"Invalid amount for capture.","Neplatná čiastka pre zachytenie."
"Payment capturing error.","Chyba získavania platby."
"Invalid transaction ID.","Neplatné transakčné ID."
"Payment voiding error.","Chyba anulácie platby."
"Invalid amount for refund.","Neplatná čiastka vrátenia."
"Payment refunding error.","Chyba vrátenia platby."
"The transaction was declined because the response hash validation failed.","Transakcia bola odmietnutá, pre zlyhanie odpovede overovacieho algoritmu."
"This payment didn't work out because we can't find this order.","Táto platba nefunguje, pretože nemôžeme nájsť túto objednávku."
"There was a payment authorization error.","Nastala chyba autorizácie platby."
"Please enter a transaction ID to authorize this payment.","Zadajte ID transakcie pre schválenie tejto platby."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Niečo sa pokazilo: zaplatená suma neodpovedá hodnote objednávky. Opravte to a skúste to znova."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transakcia %1 schválená. Čiastka %2. Stav transakcie je ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transakcia %1 zrušená/odmietnutá. Stav transakcie je ""%2"". Čiastka %3."
"Authorize Only","Len schváliť"
"Authorize and Capture","Schváliť a získať"
"Unable to get transaction details. Try again later.","Nemožno získať detaily transakcie. Skúste znova neskôr."
"Electronic payments save the trees.","Elektronické platby zachrániť stromy."
"Credit Card Type","Typ kreditnej karty"
"Please Select","Prosím, vyberte"
"Credit Card Number","Číslo kreditnej karty"
"Expiration Date","Dátum expirácie"
"Card Verification Number","Overovacie číslo karty"
"Fraud Detection ","Odhaľovanie podvodov "
"FDS Filter Action","Akcia FDS filtra"
"AVS Response","AVS odpoveď"
"Card Code Response","Odozva kódu karty"
"CAVV Response","CAVV odpoveď"
"Fraud Filters","Filtre podvodov"
"Place Order","Objednať"
"Sorry, but something went wrong. Please contact the seller.","Ľutujeme, niečo sa pokazilo. Kontaktujte predajcu."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Enabled","Zapnuté"
"Payment Action","Platobná akcia"
"Title","Titulok"
"API Login ID","API Login ID"
"Transaction Key","Transakčný kľúč"
"Merchant MD5","MD5 obchodníka"
"New Order Status","Stav novej objednávky"
"Test Mode","Skúšobný mód"
"Gateway URL","URL brány"
"Transaction Details URL","URL detailov transakcie"
"Accepted Currency","Akceptovaná mena"
"Debug","Ladenie"
"Email Customer","E-mailovať zákazníkovi"
"Merchant's Email","E-mail obchodníka"
"Credit Card Types","Typy kreditnej karty"
"Credit Card Verification","Overenie kreditnej karty"
"Payment from Applicable Countries","Platba z dostupných krajín"
"Payment from Specific Countries","Platba z vybratých krajín"
"Minimum Order Total","Minimálna suma objednávky"
"Maximum Order Total","Maximálna suma objednávky"
"Sort Order","Poradie radenia"
"Cannot place order.","Objednávku nemožno vytvoriť."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Nie je zadať objednávku. Skúste znova neskôr."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
