"You created the order.","شما سفارش دادید."
"Order saving error: %1","ارور ذخیره کردن سفارش:%1"
"Please choose a payment method.","لطفا یک روش پرداخت انتخاب کنید."
"We can't process your order right now. Please try again later.","اکنون نمیتوانیم سفارش شما را پردازش کنیم. لطفا بعدا دوباره امتحان کنید."
"An error occurred on the server. Please try to place the order again.","خطایی در سرور رخ داده است. لطفا سعی کنید دوباره سفارش را ثبت کنید."
"Credit Card: xxxx-%1","کارت بانکی: xxxx-%1"
"amount %1","مقدار %1"
"failed.","ناموفق."
"successful.","موفق."
"Authorize.Net Transaction ID %1.","شناسه تراکنش مجاز%1."
"authorize","اجازه دادن"
"authorize and capture","اجازه و ضبط"
"capture","ضبط"
"refund","استرداد"
"void","از درجه اعتبار ساقط"
"Gateway error: %1","دروازه خطا: %1"
"Something went wrong in the payment gateway.","در درگاه پرداخت اشتباهی رخ داد."
"Invalid amount for capture.","مقدار نامعتبر برای ضبط."
"Payment capturing error.","خطای پرداخت."
"Invalid transaction ID.","شناسه تراکنش نامعتبر است."
"Payment voiding error.","خطا استرداد پرداخت."
"Invalid amount for refund.","مقدار نامعتبر برای استرداد وجه."
"Payment refunding error.","خطای استرداد پرداخت."
"The transaction was declined because the response hash validation failed.","معامله به دلیل عدم موفقیت اعتبار پاسخ هش با خطا موجه شد."
"This payment didn't work out because we can't find this order.","این پرداخت کار نمی کند زیرا ما نمیتوانیم این سفارش را پیدا کنیم."
"There was a payment authorization error.","خطای مجوز پرداخت وجود دارد."
"Please enter a transaction ID to authorize this payment.","لطفا برای تأیید این پرداخت، شناسه تراکنش را وارد کنید."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","چیزی که اشتباه شده است: مبلغ پرداخت شده با مقدار سفارش منطبق نیست. لطفا این را اصلاح کنید و دوباره امتحان کنید."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","تراکنش%1 تأیید شده است. مقدار%2 . وضعیت تراکنش ""%3"" است"
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","تراکنش%1 لغو/ رد شد. وضعیت تراکنش ""%2"" است. مقدار %3."
"Authorize Only","فقط مجاز"
"Authorize and Capture","احراز هویت و ضبط"
"Unable to get transaction details. Try again later.","امکان دریافت جزئیات تراکنش وجود ندارد بعدا دوباره تلاش کنید."
"Electronic payments save the trees.","با پرداخت الکترونیکی درختان را نجات دهید."
"Credit Card Type","نوع کارت بانکی"
"Please Select","لطفا انتخاب نمایید"
"Credit Card Number","شماره کارت بانکی"
"Expiration Date","تاريخ انقضا"
"Card Verification Number","CVV2"
"Fraud Detection ","تشخیص تقلب "
"FDS Filter Action","اقدام فیلتر FDS"
"AVS Response","پاسخ AVS"
"Card Code Response","پاسخ کد کارت"
"CAVV Response","پاسخ CAVV"
"Fraud Filters","فیلتر های تقلب"
"Place Order","ایجاد سفارش"
"Sorry, but something went wrong. Please contact the seller.","با عرض پوزش، اشتباهی رخ داده است. لطفا با فروشنده تماس بگیرید."
"Authorize.net Direct Post","پست مستقیم Authorize.net"
"Enabled","فعال"
"Payment Action","عمل پرداخت"
"Title","عنوان"
"API Login ID","شناسه ورود به سيستم"
"Transaction Key","كليد تراكنش"
"Merchant MD5","مرچنت MD5"
"New Order Status","وضعيت سفارش جديد"
"Test Mode","حالت آزمایشی"
"Gateway URL","URL گذرگاه"
"Transaction Details URL","آدرس جزئیات تراکنش"
"Accepted Currency","ارز قابل قبول"
"Debug","اشکال زدايي کردن"
"Email Customer","ايميل به مشتري"
"Merchant's Email","ايميل فروشنده"
"Credit Card Types","انواع كارت بانکی"
"Credit Card Verification","تأیيد کارت بانکی"
"Payment from Applicable Countries","پرداخت از کشورهای قابل قبول"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Minimum Order Total","مجموع حداقل تعداد سفارش"
"Maximum Order Total","مجموع حداکثر تعداد سفارش"
"Sort Order","ترتيب سفارش"
"Cannot place order.","نمی توانم سفارش بدهم."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","امکان سفارش وجود ندارد لطفا بعدا دوباره امتحان کنید."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
