"You created the order.","יצרת את ההזמנה."
"Order saving error: %1","שגיאה בשמירת ההזמנה: %1"
"Please choose a payment method.","אנא בחר שיטת תשלום."
"We can't process your order right now. Please try again later.","לנו אין לעבד את ההזמנה שלך עכשיו. נא נסה שוב מאוחר יותר."
"An error occurred on the server. Please try to place the order again.","אירעה שגיאה בעת שמירה. נא סקור את דוח השגיאות."
"Credit Card: xxxx-%1","כרטיס אשראי: xxxx-%1"
"amount %1","כמות %1"
"failed.","נכשל."
"successful.","עבר בהצלחה."
"Authorize.Net Transaction ID %1.","Authorize.Net טרנזקציה ל- id %1."
"authorize","מאושר"
"authorize and capture","אושר ונקלט"
"capture","לכידה"
"refund","החזר"
"void","ריק"
"Gateway error: %1","שגיאה בשער: %1"
"Something went wrong in the payment gateway.","משהו השתבש בהתקשרות עם שיטת התשלום."
"Invalid amount for capture.","כמות לא חוקית עבור לכידה."
"Payment capturing error.","שגיאת לכידת תשלום."
"Invalid transaction ID.","ID טרנזקציה לא חוקית."
"Payment voiding error.","שגיאת תשלום ריק."
"Invalid amount for refund.","כמות לא תקינה עבור זיכוי."
"Payment refunding error.","שגיאה בקבלת זיכוי."
"The transaction was declined because the response hash validation failed.","הטרנזקציה נדחתה מכיוון התגובת האימות של ה-hash נכשלה."
"This payment didn't work out because we can't find this order.","לא ניתן היה לעבד את התשלום שלך כי לא נמצאה הזמנה."
"There was a payment authorization error.","אירעה שגיאה באישור התשלום."
"Please enter a transaction ID to authorize this payment.","הזינו בבקשה את מזהה הטרנזקציה כדי לאשר את התשלום."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","תקלה: התשלום ששולם לא תואם את סכום ההזמנה. אנא תקן ונסה שנית."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","%1 העסקה אושרה. כמות %2. מצב הטרנזקציה הוא ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","עסקת %1 כבר בוטל/נדחה. מצב טרנזקציה היא ""%2"". כמות %3."
"Authorize Only","מורשים בלבד"
"Authorize and Capture","אושר ונקלט"
"Unable to get transaction details. Try again later.","אין אפשרות לקבל את פרטי העסקה. נסה שוב מאוחר יותר."
"Electronic payments save the trees.","Electronic payments save the trees."
"Credit Card Type","סוג כרטיס אשראי"
"Please Select","נא לבחור"
"Credit Card Number","מספר כרטיס אשראי"
"Expiration Date","תאריך תפוגה"
"Card Verification Number","קוד אימות לכרטיס"
"Fraud Detection ","זוהתה הונאה "
"FDS Filter Action","פעולת סינון FDS"
"AVS Response","תגובת AVS"
"Card Code Response","תגובת כרטיס קוד"
"CAVV Response","תגובה CAVV"
"Fraud Filters","מסנני הונאה"
"Place Order","ביצוע הזמנה"
"Sorry, but something went wrong. Please contact the seller.","מצטערת, אבל משהו השתבש. אנא צרו קשר עם המוכר."
"Authorize.net Direct Post","פוסט ישיר של Authorize.net"
"Enabled","פעיל"
"Payment Action","פעולת תשלום"
"Title","כותרת"
"API Login ID","מזהה הכניסה API"
"Transaction Key","מזהה העברה"
"Merchant MD5","סוחר MD5"
"New Order Status","סטטוס הזמנה חדשה"
"Test Mode","מצב בדיקה"
"Gateway URL","כתובת gateway"
"Transaction Details URL","כתובת פרטי הטרנזקציה URL"
"Accepted Currency","המטבע המקובל"
"Debug","דיבאג"
"Email Customer","דואר אלקטרוני של לקוח"
"Merchant's Email","דואל אלקטרוני של הסוחר"
"Credit Card Types","סוג כרטיסי אשראי"
"Credit Card Verification","אימות כרטיס האשראי"
"Payment from Applicable Countries","תשלום ממדינות מאושרות"
"Payment from Specific Countries","תשלום ממדינות ספציפיות"
"Minimum Order Total","סך הזמנה מינימלי"
"Maximum Order Total","סך ההזמנה המרבי"
"Sort Order","סדר מיון"
"Cannot place order.","לא ניתן להזמין."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","אין אפשרות להזמין. נא נסה שוב מאוחר יותר."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
